일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/19","10250","100","0.99","0","0","10245","1.00","350","3.41"
"2021/03/18","10150","100","1.00","0","0","10245","0.99","350","3.45"
"2021/03/17","10050","-100","-0.99","0","0","10245","0.98","350","3.48"
"2021/03/16","10150","160","1.60","0","0","10245","0.99","350","3.45"
"2021/03/15","9990","280","2.88","0","0","10245","0.98","350","3.50"
"2021/03/12","9710","80","0.83","0","0","10245","0.95","350","3.60"
"2021/03/11","9630","0","0.00","0","0","10245","0.94","350","3.63"
"2021/03/10","9630","-50","-0.52","0","0","10245","0.94","350","3.63"
"2021/03/09","9680","-130","-1.33","0","0","10245","0.94","350","3.62"
"2021/03/08","9810","-110","-1.11","0","0","10245","0.96","350","3.57"
"2021/03/05","9920","320","3.33","0","0","10245","0.97","350","3.53"
"2021/03/04","9600","-90","-0.93","0","0","10245","0.94","350","3.65"
"2021/03/03","9690","10","0.10","0","0","10245","0.95","350","3.61"
"2021/03/02","9680","10","0.10","0","0","10245","0.94","350","3.62"
"2021/02/26","9670","-330","-3.30","0","0","10245","0.94","350","3.62"
"2021/02/25","10000","140","1.42","0","0","10245","0.98","350","3.50"
"2021/02/24","9860","-70","-0.70","0","0","10245","0.96","350","3.55"
"2021/02/23","9930","-220","-2.17","0","0","10245","0.97","350","3.52"
"2021/02/22","10150","0","0.00","0","0","10245","0.99","350","3.45"
"2021/02/19","10150","-250","-2.40","0","0","10245","0.99","350","3.45"
"2021/02/18","10400","-50","-0.48","0","0","10245","1.02","350","3.37"
"2021/02/17","10450","-50","-0.48","0","0","10245","1.02","350","3.35"
"2021/02/16","10500","-50","-0.47","0","0","10245","1.02","350","3.33"
"2021/02/15","10550","50","0.48","0","0","10245","1.03","350","3.32"
"2021/02/10","10500","150","1.45","0","0","10245","1.02","350","3.33"
"2021/02/09","10350","-50","-0.48","0","0","10245","1.01","350","3.38"
"2021/02/08","10400","-100","-0.95","0","0","10245","1.02","350","3.37"
"2021/02/05","10500","-100","-0.94","0","0","10245","1.02","350","3.33"
"2021/02/04","10600","-200","-1.85","0","0","10245","1.03","350","3.30"
"2021/02/03","10800","200","1.89","0","0","10245","1.05","350","3.24"
"2021/02/02","10600","200","1.92","0","0","10245","1.03","350","3.30"
"2021/02/01","10400","150","1.46","0","0","10245","1.02","350","3.37"
"2021/01/29","10250","-650","-5.96","0","0","10245","1.00","350","3.41"
"2021/01/28","10900","-300","-2.68","0","0","10245","1.06","350","3.21"
"2021/01/27","11200","-250","-2.18","0","0","10245","1.09","350","3.13"
"2021/01/26","11450","-100","-0.87","0","0","10245","1.12","350","3.06"
"2021/01/25","11550","650","5.96","0","0","10245","1.13","350","3.03"
"2021/01/22","10900","-200","-1.80","0","0","10245","1.06","350","3.21"
"2021/01/21","11100","0","0.00","0","0","10245","1.08","350","3.15"
"2021/01/20","11100","-100","-0.89","0","0","10245","1.08","350","3.15"
"2021/01/19","11200","300","2.75","0","0","10245","1.09","350","3.13"
"2021/01/18","10900","50","0.46","0","0","10245","1.06","350","3.21"
"2021/01/15","10850","350","3.33","0","0","10245","1.06","350","3.23"
"2021/01/14","10500","-150","-1.41","0","0","10245","1.02","350","3.33"
"2021/01/13","10650","150","1.43","0","0","10245","1.04","350","3.29"
"2021/01/12","10500","250","2.44","0","0","10245","1.02","350","3.33"
"2021/01/11","10250","-450","-4.21","0","0","10245","1.00","350","3.41"
"2021/01/08","10700","-150","-1.38","0","0","10245","1.04","350","3.27"
"2021/01/07","10850","-50","-0.46","0","0","10245","1.06","350","3.23"
"2021/01/06","10900","100","0.93","0","0","10245","1.06","350","3.21"
"2021/01/05","10800","200","1.89","0","0","10245","1.05","350","3.24"
"2021/01/04","10600","100","0.95","0","0","10245","1.03","350","3.30"
"2020/12/30","10500","50","0.48","0","0","10245","1.02","350","3.33"
"2020/12/29","10450","-450","-4.13","0","0","10245","1.02","350","3.35"
"2020/12/28","10900","700","6.86","0","0","10245","1.06","350","3.21"
"2020/12/24","10200","50","0.49","0","0","10245","1.00","350","3.43"
"2020/12/23","10150","100","1.00","0","0","10245","0.99","350","3.45"
"2020/12/22","10050","-150","-1.47","0","0","10245","0.98","350","3.48"
"2020/12/21","10200","50","0.49","0","0","10245","1.00","350","3.43"
"2020/12/18","10150","50","0.50","0","0","10245","0.99","350","3.45"
"2020/12/17","10100","0","0.00","0","0","10245","0.99","350","3.47"
"2020/12/16","10100","100","1.00","0","0","10245","0.99","350","3.47"
"2020/12/15","10000","-150","-1.48","0","0","10245","0.98","350","3.50"
"2020/12/14","10150","-250","-2.40","0","0","10245","0.99","350","3.45"
