일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/19","51300","-100","-0.19","2207","23.24","23612","2.17","300","0.58"
"2021/03/18","51400","0","0.00","2207","23.29","23612","2.18","300","0.58"
"2021/03/17","51400","-100","-0.19","2207","23.29","23612","2.18","300","0.58"
"2021/03/16","51500","1200","2.39","2207","23.33","23612","2.18","300","0.58"
"2021/03/15","50300","-300","-0.59","2207","22.79","23612","2.13","300","0.60"
"2021/03/12","50600","1200","2.43","2207","22.93","23612","2.14","300","0.59"
"2021/03/11","49400","450","0.92","2207","22.38","23612","2.09","300","0.61"
"2021/03/10","48950","-100","-0.20","2207","22.18","23612","2.07","300","0.61"
"2021/03/09","49050","-350","-0.71","2207","22.22","23612","2.08","300","0.61"
"2021/03/08","49400","-300","-0.60","2207","22.38","23612","2.09","300","0.61"
"2021/03/05","49700","-500","-1.00","2207","22.52","23612","2.10","300","0.60"
"2021/03/04","50200","-800","-1.57","2207","22.75","23612","2.13","300","0.60"
"2021/03/03","51000","500","0.99","2207","23.11","23612","2.16","300","0.59"
"2021/03/02","50500","-100","-0.20","2207","22.88","23612","2.14","300","0.59"
"2021/02/26","50600","-100","-0.20","2207","22.93","23612","2.14","300","0.59"
"2021/02/25","50700","0","0.00","2207","22.97","23612","2.15","300","0.59"
"2021/02/24","50700","-1400","-2.69","2207","22.97","23612","2.15","300","0.59"
"2021/02/23","52100","-100","-0.19","2207","23.61","23612","2.21","300","0.58"
"2021/02/22","52200","-600","-1.14","2207","23.65","23612","2.21","300","0.57"
"2021/02/19","52800","300","0.57","2207","23.92","23612","2.24","300","0.57"
"2021/02/18","52500","1000","1.94","2207","23.79","23612","2.22","300","0.57"
"2021/02/17","51500","300","0.59","2207","23.33","23612","2.18","300","0.58"
"2021/02/16","51200","300","0.59","2207","23.20","23612","2.17","300","0.59"
"2021/02/15","50900","1800","3.67","2207","23.06","23612","2.16","300","0.59"
"2021/02/10","49100","350","0.72","2207","22.25","23612","2.08","300","0.61"
"2021/02/09","48750","450","0.93","2207","22.09","23612","2.06","300","0.62"
"2021/02/08","48300","-100","-0.21","2207","21.88","23612","2.05","300","0.62"
"2021/02/05","48400","50","0.10","2207","21.93","23612","2.05","300","0.62"
"2021/02/04","48350","-150","-0.31","2207","21.91","23612","2.05","300","0.62"
"2021/02/03","48500","-600","-1.22","2207","21.98","23612","2.05","300","0.62"
"2021/02/02","49100","650","1.34","2207","22.25","23612","2.08","300","0.61"
"2021/02/01","48450","300","0.62","2207","21.95","23612","2.05","300","0.62"
"2021/01/29","48150","-800","-1.63","2207","21.82","23612","2.04","300","0.62"
"2021/01/28","48950","-450","-0.91","2207","22.18","23612","2.07","300","0.61"
"2021/01/27","49400","-1000","-1.98","2207","22.38","23612","2.09","300","0.61"
"2021/01/26","50400","-500","-0.98","2207","22.84","23612","2.13","300","0.60"
"2021/01/25","50900","800","1.60","2207","23.06","23612","2.16","300","0.59"
"2021/01/22","50100","-700","-1.38","2207","22.70","23612","2.12","300","0.60"
"2021/01/21","50800","0","0.00","2207","23.02","23612","2.15","300","0.59"
