일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/19","81900","-1000","-1.21","3166","25.87","37528","2.18","1416","1.73"
"2021/03/18","82900","600","0.73","3166","26.18","37528","2.21","1416","1.71"
"2021/03/17","82300","-500","-0.60","3166","25.99","37528","2.19","1416","1.72"
"2021/03/16","82800","1000","1.22","3166","26.15","37528","2.21","1416","1.71"
"2021/03/15","81800","-1000","-1.21","3166","25.84","37528","2.18","1416","1.73"
"2021/03/12","82800","800","0.98","3166","26.15","37528","2.21","1416","1.71"
"2021/03/11","82000","1100","1.36","3166","25.90","37528","2.19","1416","1.73"
"2021/03/10","80900","-500","-0.61","3166","25.55","37528","2.16","1416","1.75"
"2021/03/09","81400","-600","-0.73","3166","25.71","37528","2.17","1416","1.74"
"2021/03/08","82000","-100","-0.12","3166","25.90","37528","2.19","1416","1.73"
"2021/03/05","82100","-300","-0.36","3166","25.93","37528","2.19","1416","1.72"
"2021/03/04","82400","-1600","-1.90","3166","26.03","37528","2.20","1416","1.72"
"2021/03/03","84000","400","0.48","3166","26.53","37528","2.24","1416","1.69"
"2021/03/02","83600","1100","1.33","3166","26.41","37528","2.23","1416","1.69"
"2021/02/26","82500","-2800","-3.28","3166","26.06","37528","2.20","1416","1.72"
"2021/02/25","85300","3300","4.02","3166","26.94","37528","2.27","1416","1.66"
"2021/02/24","82000","0","0.00","3166","25.90","37528","2.19","1416","1.73"
"2021/02/23","82000","-200","-0.24","3166","25.90","37528","2.19","1416","1.73"
"2021/02/22","82200","-400","-0.48","3166","25.96","37528","2.19","1416","1.72"
"2021/02/19","82600","500","0.61","3166","26.09","37528","2.20","1416","1.71"
"2021/02/18","82100","-1100","-1.32","3166","25.93","37528","2.19","1416","1.72"
"2021/02/17","83200","-1700","-2.00","3166","26.28","37528","2.22","1416","1.70"
"2021/02/16","84900","700","0.83","3166","26.82","37528","2.26","1416","1.67"
"2021/02/15","84200","2600","3.19","3166","26.60","37528","2.24","1416","1.68"
"2021/02/10","81600","-1100","-1.33","3166","25.77","37528","2.17","1416","1.74"
"2021/02/09","82700","-300","-0.36","3166","26.12","37528","2.20","1416","1.71"
"2021/02/08","83000","-500","-0.60","3166","26.22","37528","2.21","1416","1.71"
"2021/02/05","83500","1000","1.21","3166","26.37","37528","2.23","1416","1.70"
"2021/02/04","82500","-2100","-2.48","3166","26.06","37528","2.20","1416","1.72"
"2021/02/03","84600","200","0.24","3166","26.72","37528","2.25","1416","1.67"
"2021/02/02","84400","1400","1.69","3166","26.66","37528","2.25","1416","1.68"
"2021/02/01","83000","1000","1.22","3166","26.22","37528","2.21","1416","1.71"
"2021/01/29","82000","-1700","-2.03","3166","25.90","37528","2.19","1416","1.73"
"2021/01/28","83700","-1900","-2.22","3166","26.44","37528","2.23","1416","1.69"
"2021/01/27","85600","-1100","-1.27","3166","27.04","37528","2.28","1416","1.65"
"2021/01/26","86700","-2700","-3.02","3166","27.38","37528","2.31","1416","1.63"
"2021/01/25","89400","2600","3.00","3166","28.24","37528","2.38","1416","1.58"
"2021/01/22","86800","-1300","-1.48","3166","27.42","37528","2.31","1416","1.63"
"2021/01/21","88100","900","1.03","3166","27.83","37528","2.35","1416","1.61"
"2021/01/20","87200","200","0.23","3166","27.54","37528","2.32","1416","1.62"
"2021/01/19","87000","2000","2.35","3166","27.48","37528","2.32","1416","1.63"
"2021/01/18","85000","-3000","-3.41","3166","26.85","37528","2.26","1416","1.67"
"2021/01/15","88000","-1700","-1.90","3166","27.80","37528","2.34","1416","1.61"
"2021/01/14","89700","0","0.00","3166","28.33","37528","2.39","1416","1.58"
"2021/01/13","89700","-900","-0.99","3166","28.33","37528","2.39","1416","1.58"
"2021/01/12","90600","-400","-0.44","3166","28.62","37528","2.41","1416","1.56"
"2021/01/11","91000","2200","2.48","3166","28.74","37528","2.42","1416","1.56"
"2021/01/08","88800","5900","7.12","3166","28.05","37528","2.37","1416","1.59"
"2021/01/07","82900","700","0.85","3166","26.18","37528","2.21","1416","1.71"
"2021/01/06","82200","-1700","-2.03","3166","25.96","37528","2.19","1416","1.72"
"2021/01/05","83900","900","1.08","3166","26.50","37528","2.24","1416","1.69"
"2021/01/04","83000","2000","2.47","3166","26.22","37528","2.21","1416","1.71"
"2020/12/30","81000","2700","3.45","3166","25.58","37528","2.16","1416","1.75"
"2020/12/29","78300","-400","-0.51","3166","24.73","37528","2.09","1416","1.81"
"2020/12/28","78700","900","1.16","3166","24.86","37528","2.10","1416","1.80"
"2020/12/24","77800","3900","5.28","3166","24.57","37528","2.07","1416","1.82"
"2020/12/23","73900","1600","2.21","3166","23.34","37528","1.97","1416","1.92"
"2020/12/22","72300","-700","-0.96","3166","22.84","37528","1.93","1416","1.96"
"2020/12/21","73000","0","0.00","3166","23.06","37528","1.95","1416","1.94"
"2020/12/18","73000","-300","-0.41","3166","23.06","37528","1.95","1416","1.94"
"2020/12/17","73300","-500","-0.68","3166","23.15","37528","1.95","1416","1.93"
"2020/12/16","73800","0","0.00","3166","23.31","37528","1.97","1416","1.92"
"2020/12/15","73800","0","0.00","3166","23.31","37528","1.97","1416","1.92"
"2020/12/14","73800","400","0.54","3166","23.31","37528","1.97","1416","1.92"
"2020/12/11","73400","500","0.69","3166","23.18","37528","1.96","1416","1.93"
"2020/12/10","72900","-1000","-1.35","3166","23.03","37528","1.94","1416","1.94"
"2020/12/09","73900","2200","3.07","3166","23.34","37528","1.97","1416","1.92"
"2020/12/08","71700","-1200","-1.65","3166","22.65","37528","1.91","1416","1.97"
"2020/12/07","72900","1400","1.96","3166","23.03","37528","1.94","1416","1.94"
"2020/12/04","71500","1800","2.58","3166","22.58","37528","1.91","1416","1.98"
"2020/12/03","69700","200","0.29","3166","22.02","37528","1.86","1416","2.03"
"2020/12/02","69500","1700","2.51","3166","21.95","37528","1.85","1416","2.04"
"2020/12/01","67800","1100","1.65","3166","21.42","37528","1.81","1416","2.09"
"2020/11/30","66700","-1500","-2.20","3166","21.07","37528","1.78","1416","2.12"
"2020/11/27","68200","200","0.29","3166","21.54","37528","1.82","1416","2.08"
"2020/11/26","68000","1400","2.10","3166","21.48","37528","1.81","1416","2.08"
"2020/11/25","66600","-1100","-1.62","3166","21.04","37528","1.77","1416","2.13"
"2020/11/24","67700","200","0.30","3166","21.38","37528","1.80","1416","2.09"
"2020/11/23","67500","2800","4.33","3166","21.32","37528","1.80","1416","2.10"
"2020/11/20","64700","100","0.15","3166","20.44","37528","1.72","1416","2.19"
"2020/11/19","64600","-200","-0.31","3166","20.40","37528","1.72","1416","2.19"
"2020/11/18","64800","-900","-1.37","3166","20.47","37528","1.73","1416","2.19"
"2020/11/17","65700","-600","-0.90","3166","20.75","37528","1.75","1416","2.16"
"2020/11/16","66300","3100","4.91","3166","20.94","37528","1.77","1416","2.14"
"2020/11/13","63200","2200","3.61","3166","19.96","37528","1.68","1416","2.24"
"2020/11/12","61000","-300","-0.49","3166","19.27","37528","1.63","1416","2.32"
"2020/11/11","61300","1100","1.83","3166","19.36","37528","1.63","1416","2.31"
"2020/11/10","60200","0","0.00","3166","19.01","37528","1.60","1416","2.35"
"2020/11/09","60200","100","0.17","3166","19.01","37528","1.60","1416","2.35"
"2020/11/06","60100","-200","-0.33","3166","18.98","37528","1.60","1416","2.36"
"2020/11/05","60300","1800","3.08","3166","19.05","37528","1.61","1416","2.35"
"2020/11/04","58500","-300","-0.51","3166","18.48","37528","1.56","1416","2.42"
"2020/11/03","58800","1400","2.44","3166","18.57","37528","1.57","1416","2.41"
"2020/11/02","57400","800","1.41","3166","18.13","37528","1.53","1416","2.47"
"2020/10/30","56600","-1500","-2.58","3166","17.88","37528","1.51","1416","2.50"
"2020/10/29","58100","-900","-1.53","3166","18.35","37528","1.55","1416","2.44"
"2020/10/28","59000","-800","-1.34","3166","18.64","37528","1.57","1416","2.40"
"2020/10/27","59800","-600","-0.99","3166","18.89","37528","1.59","1416","2.37"
"2020/10/26","60400","200","0.33","3166","19.08","37528","1.61","1416","2.34"
"2020/10/23","60200","100","0.17","3166","19.01","37528","1.60","1416","2.35"
"2020/10/22","60100","-800","-1.31","3166","18.98","37528","1.60","1416","2.36"
"2020/10/21","60900","0","0.00","3166","19.24","37528","1.62","1416","2.33"
"2020/10/20","60900","900","1.50","3166","19.24","37528","1.62","1416","2.33"
"2020/10/19","60000","500","0.84","3166","18.95","37528","1.60","1416","2.36"
"2020/10/16","59500","-500","-0.83","3166","18.79","37528","1.59","1416","2.38"
"2020/10/15","60000","-900","-1.48","3166","18.95","37528","1.60","1416","2.36"
"2020/10/14","60900","0","0.00","3166","19.24","37528","1.62","1416","2.33"
"2020/10/13","60900","500","0.83","3166","19.24","37528","1.62","1416","2.33"
"2020/10/12","60400","700","1.17","3166","19.08","37528","1.61","1416","2.34"
"2020/10/08","59700","-200","-0.33","3166","18.86","37528","1.59","1416","2.37"
"2020/10/07","59900","900","1.53","3166","18.92","37528","1.60","1416","2.36"
"2020/10/06","59000","300","0.51","3166","18.64","37528","1.57","1416","2.40"
"2020/10/05","58700","500","0.86","3166","18.54","37528","1.56","1416","2.41"
"2020/09/29","58200","0","0.00","3166","18.38","37528","1.55","1416","2.43"
"2020/09/28","58200","300","0.52","3166","18.38","37528","1.55","1416","2.43"
"2020/09/25","57900","100","0.17","3166","18.29","37528","1.54","1416","2.45"
"2020/09/24","57800","-800","-1.37","3166","18.26","37528","1.54","1416","2.45"
"2020/09/23","58600","400","0.69","3166","18.51","37528","1.56","1416","2.42"
"2020/09/22","58200","-1000","-1.69","3166","18.38","37528","1.55","1416","2.43"
"2020/09/21","59200","-100","-0.17","3166","18.70","37528","1.58","1416","2.39"
"2020/09/18","59300","-200","-0.34","3166","18.73","37528","1.58","1416","2.39"
