일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/19","81500","-600","-0.73","4337","18.79","34937","2.33","2500","3.07"
"2021/03/18","82100","-800","-0.97","4337","18.93","34937","2.35","2500","3.05"
"2021/03/17","82900","600","0.73","4337","19.11","34937","2.37","2500","3.02"
"2021/03/16","82300","700","0.86","4337","18.98","34937","2.36","2500","3.04"
"2021/03/15","81600","0","0.00","4337","18.81","34937","2.34","2500","3.06"
"2021/03/12","81600","400","0.49","4337","18.81","34937","2.34","2500","3.06"
"2021/03/11","81200","-700","-0.85","4337","18.72","34937","2.32","2500","3.08"
"2021/03/10","81900","-500","-0.61","4337","18.88","34937","2.34","2500","3.05"
"2021/03/09","82400","-300","-0.36","4337","19.00","34937","2.36","2500","3.03"
"2021/03/08","82700","100","0.12","4337","19.07","34937","2.37","2500","3.02"
"2021/03/05","82600","-500","-0.60","4337","19.05","34937","2.36","2500","3.03"
"2021/03/04","83100","-1000","-1.19","4337","19.16","34937","2.38","2500","3.01"
"2021/03/03","84100","700","0.84","4337","19.39","34937","2.41","2500","2.97"
"2021/03/02","83400","400","0.48","4337","19.23","34937","2.39","2500","3.00"
"2021/02/26","83000","0","0.00","4337","19.14","34937","2.38","2500","3.01"
"2021/02/25","83000","1100","1.34","4337","19.14","34937","2.38","2500","3.01"
"2021/02/24","81900","-300","-0.36","4337","18.88","34937","2.34","2500","3.05"
"2021/02/23","82200","800","0.98","4337","18.95","34937","2.35","2500","3.04"
"2021/02/22","81400","-800","-0.97","4337","18.77","34937","2.33","2500","3.07"
"2021/02/19","82200","1600","1.99","4337","18.95","34937","2.35","2500","3.04"
"2021/02/18","80600","-1400","-1.71","4337","18.58","34937","2.31","2500","3.10"
"2021/02/17","82000","-1700","-2.03","4337","18.91","34937","2.35","2500","3.05"
"2021/02/16","83700","-100","-0.12","4337","19.30","34937","2.40","2500","2.99"
"2021/02/15","83800","-800","-0.95","4337","19.32","34937","2.40","2500","2.98"
"2021/02/10","84600","-200","-0.24","4337","19.51","34937","2.42","2500","2.96"
"2021/02/09","84800","800","0.95","4337","19.55","34937","2.43","2500","2.95"
"2021/02/08","84000","500","0.60","4337","19.37","34937","2.40","2500","2.98"
"2021/02/05","83500","1200","1.46","4337","19.25","34937","2.39","2500","2.99"
"2021/02/04","82300","-1000","-1.20","4337","18.98","34937","2.36","2500","3.04"
"2021/02/03","83300","-1400","-1.65","4337","19.21","34937","2.38","2500","3.00"
"2021/02/02","84700","1400","1.68","4337","19.53","34937","2.42","2500","2.95"
"2021/02/01","83300","2500","3.09","4337","19.21","34937","2.38","2500","3.00"
"2021/01/29","80800","-2600","-3.12","4337","18.63","34937","2.31","2500","3.09"
"2021/01/28","83400","-2100","-2.46","4337","19.23","34937","2.39","2500","3.00"
