일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/18","257000","-500","-0.19","12144","21.16","284310","0.90","10000","3.89"
"2021/03/17","257500","1000","0.39","12144","21.20","284310","0.91","10000","3.88"
"2021/03/16","256500","-500","-0.19","12144","21.12","284310","0.90","10000","3.90"
"2021/03/15","257000","2000","0.78","12144","21.16","284310","0.90","10000","3.89"
"2021/03/12","255000","2500","0.99","12144","21.00","284310","0.90","10000","3.92"
"2021/03/11","252500","2000","0.80","12144","20.79","284310","0.89","10000","3.96"
"2021/03/10","250500","2500","1.01","12144","20.63","284310","0.88","10000","3.99"
"2021/03/09","248000","3500","1.43","12144","20.42","284310","0.87","10000","4.03"
"2021/03/08","244500","500","0.20","12144","20.13","284310","0.86","10000","4.09"
"2021/03/05","244000","-2500","-1.01","12144","20.09","284310","0.86","10000","4.10"
"2021/03/04","246500","-6000","-2.38","12144","20.30","284310","0.87","10000","4.06"
"2021/03/03","252500","5000","2.02","12144","20.79","284310","0.89","10000","3.96"
"2021/03/02","247500","0","0.00","12144","20.38","284310","0.87","10000","4.04"
"2021/02/26","247500","-4500","-1.79","12144","20.38","284310","0.87","10000","4.04"
"2021/02/25","252000","8500","3.49","12144","20.75","284310","0.89","10000","3.97"
"2021/02/24","243500","-3500","-1.42","12144","20.05","284310","0.86","10000","4.11"
"2021/02/23","247000","-1000","-0.40","12144","20.34","284310","0.87","10000","4.05"
"2021/02/22","248000","-5500","-2.17","12144","20.42","284310","0.87","10000","4.03"
"2021/02/19","253500","500","0.20","12144","20.87","284310","0.89","10000","3.94"
"2021/02/18","253000","0","0.00","12144","20.83","284310","0.89","10000","3.95"
"2021/02/17","253000","2000","0.80","12144","20.83","284310","0.89","10000","3.95"
"2021/02/16","251000","5000","2.03","12144","20.67","284310","0.88","10000","3.98"
"2021/02/15","246000","0","0.00","12144","20.26","284310","0.87","10000","4.07"
"2021/02/10","246000","-1500","-0.61","12144","20.26","284310","0.87","10000","4.07"
"2021/02/09","247500","-4500","-1.79","12144","20.38","284310","0.87","10000","4.04"
"2021/02/08","252000","-6500","-2.51","12144","20.75","284310","0.89","10000","3.97"
"2021/02/05","258500","11500","4.66","12144","21.29","284310","0.91","10000","3.87"
"2021/02/04","247000","2000","0.82","12144","20.34","284310","0.87","10000","4.05"
"2021/02/03","245000","0","0.00","12144","20.17","284310","0.86","10000","4.08"
"2021/02/02","245000","-500","-0.20","12144","20.17","284310","0.86","10000","4.08"
"2021/02/01","245500","1500","0.61","12144","20.22","284310","0.86","10000","4.07"
"2021/01/29","244000","-4000","-1.61","12144","20.09","284310","0.86","10000","4.10"
"2021/01/28","248000","-3000","-1.20","12144","20.42","284310","0.87","10000","4.03"
"2021/01/27","251000","-3000","-1.18","12144","20.67","284310","0.88","10000","3.98"
"2021/01/26","254000","-9000","-3.42","12144","20.92","284310","0.89","10000","3.94"
"2021/01/25","263000","9000","3.54","12144","21.66","284310","0.93","10000","3.80"
"2021/01/22","254000","-2000","-0.78","12144","20.92","284310","0.89","10000","3.94"
"2021/01/21","256000","7500","3.02","12144","21.08","284310","0.90","10000","3.91"
"2021/01/20","248500","3500","1.43","12144","20.46","284310","0.87","10000","4.02"
"2021/01/19","245000","1000","0.41","12144","20.17","284310","0.86","10000","4.08"
