일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/18","155500","-2500","-1.58","169","920.12","79245","1.96","750","0.48"
"2021/03/17","158000","0","0.00","169","934.91","79245","1.99","750","0.47"
"2021/03/16","158000","6500","4.29","169","934.91","79245","1.99","750","0.47"
"2021/03/15","151500","-1000","-0.66","169","896.45","79245","1.91","750","0.50"
"2021/03/12","152500","5000","3.39","169","902.37","79245","1.92","750","0.49"
"2021/03/11","147500","5000","3.51","169","872.78","79245","1.86","750","0.51"
"2021/03/10","142500","-2000","-1.38","169","843.20","79245","1.80","750","0.53"
"2021/03/09","144500","1500","1.05","169","855.03","79245","1.82","750","0.52"
"2021/03/08","143000","-5500","-3.70","169","846.15","79245","1.80","750","0.52"
"2021/03/05","148500","2500","1.71","169","878.70","79245","1.87","750","0.51"
"2021/03/04","146000","-4500","-2.99","169","863.91","79245","1.84","750","0.51"
"2021/03/03","150500","1500","1.01","169","890.53","79245","1.90","750","0.50"
"2021/03/02","149000","2500","1.71","169","881.66","79245","1.88","750","0.50"
"2021/02/26","146500","-7500","-4.87","169","866.86","79245","1.85","750","0.51"
"2021/02/25","154000","4000","2.67","169","911.24","79245","1.94","750","0.49"
"2021/02/24","150000","-7500","-4.76","169","887.57","79245","1.89","750","0.50"
"2021/02/23","157500","-8500","-5.12","169","931.95","79245","1.99","750","0.48"
"2021/02/22","166000","-2000","-1.19","169","982.25","79245","2.09","750","0.45"
"2021/02/19","168000","-3000","-1.75","169","994.08","79245","2.12","750","0.45"
"2021/02/18","171000","-5000","-2.84","169","1011.83","79245","2.16","750","0.44"
"2021/02/17","176000","3500","2.03","169","1041.42","79245","2.22","750","0.43"
"2021/02/16","172500","7500","4.55","169","1020.71","79245","2.18","750","0.43"
"2021/02/15","165000","-2500","-1.49","169","976.33","79245","2.08","750","0.45"
"2021/02/10","167500","6500","4.04","169","991.12","79245","2.11","750","0.45"
"2021/02/09","161000","4000","2.55","169","952.66","79245","2.03","750","0.47"
"2021/02/08","157000","-1000","-0.63","169","928.99","79245","1.98","750","0.48"
"2021/02/05","158000","500","0.32","169","934.91","79245","1.99","750","0.47"
"2021/02/04","157500","-7500","-4.55","169","931.95","79245","1.99","750","0.48"
"2021/02/03","165000","7000","4.43","169","976.33","79245","2.08","750","0.45"
"2021/02/02","158000","0","0.00","169","934.91","79245","1.99","750","0.47"
"2021/02/01","158000","5000","3.27","169","934.91","79245","1.99","750","0.47"
"2021/01/29","153000","-11500","-6.99","169","905.33","79245","1.93","750","0.49"
"2021/01/28","164500","-2500","-1.50","169","973.37","79245","2.08","750","0.46"
"2021/01/27","167000","-3000","-1.76","169","988.17","79245","2.11","750","0.45"
"2021/01/26","170000","-8000","-4.49","169","1005.92","79245","2.15","750","0.44"
"2021/01/25","178000","500","0.28","169","1053.25","79245","2.25","750","0.42"
"2021/01/22","177500","-7500","-4.05","169","1050.30","79245","2.24","750","0.42"
"2021/01/21","185000","18000","10.78","169","1094.67","79245","2.33","750","0.41"
"2021/01/20","167000","19000","12.84","169","988.17","79245","2.11","750","0.45"
"2021/01/19","148000","9000","6.47","169","875.74","79245","1.87","750","0.51"
"2021/01/18","139000","-1000","-0.71","169","822.49","79245","1.75","750","0.54"
"2021/01/15","140000","-7000","-4.76","169","828.40","79245","1.77","750","0.54"
"2021/01/14","147000","7000","5.00","169","869.82","79245","1.86","750","0.51"
"2021/01/13","140000","1500","1.08","169","828.40","79245","1.77","750","0.54"
"2021/01/12","138500","-3500","-2.46","169","819.53","79245","1.75","750","0.54"
"2021/01/11","142000","-5500","-3.73","169","840.24","79245","1.79","750","0.53"
"2021/01/08","147500","-2500","-1.67","169","872.78","79245","1.86","750","0.51"
"2021/01/07","150000","12500","9.09","169","887.57","79245","1.89","750","0.50"
"2021/01/06","137500","-2500","-1.79","169","813.61","79245","1.74","750","0.55"
"2021/01/05","140000","-2000","-1.41","169","828.40","79245","1.77","750","0.54"
"2021/01/04","142000","7000","5.19","169","840.24","79245","1.79","750","0.53"
"2020/12/30","135000","3500","2.66","169","798.82","79245","1.70","750","0.56"
"2020/12/29","131500","7000","5.62","169","778.11","79245","1.66","750","0.57"
"2020/12/28","124500","12500","11.16","169","736.69","79245","1.57","750","0.60"
"2020/12/24","112000","-7500","-6.28","169","662.72","79245","1.41","750","0.67"
"2020/12/23","119500","27300","29.61","169","707.10","79245","1.51","750","0.63"
"2020/12/22","92200","-2700","-2.85","169","545.56","79245","1.16","750","0.81"
"2020/12/21","94900","-900","-0.94","169","561.54","79245","1.20","750","0.79"
"2020/12/18","95800","-1100","-1.14","169","566.86","79245","1.21","750","0.78"
"2020/12/17","96900","-400","-0.41","169","573.37","79245","1.22","750","0.77"
"2020/12/16","97300","3900","4.18","169","575.74","79245","1.23","750","0.77"
"2020/12/15","93400","-1600","-1.68","169","552.66","79245","1.18","750","0.80"
"2020/12/14","95000","-800","-0.84","169","562.13","79245","1.20","750","0.79"
"2020/12/11","95800","400","0.42","169","566.86","79245","1.21","750","0.78"
"2020/12/10","95400","-800","-0.83","169","564.50","79245","1.20","750","0.79"
"2020/12/09","96200","1200","1.26","169","569.23","79245","1.21","750","0.78"
"2020/12/08","95000","5800","6.50","169","562.13","79245","1.20","750","0.79"
"2020/12/07","89200","-1300","-1.44","169","527.81","79245","1.13","750","0.84"
"2020/12/04","90500","200","0.22","169","535.50","79245","1.14","750","0.83"
"2020/12/03","90300","4400","5.12","169","534.32","79245","1.14","750","0.83"
"2020/12/02","85900","-100","-0.12","169","508.28","79245","1.08","750","0.87"
"2020/12/01","86000","500","0.58","169","508.88","79245","1.09","750","0.87"
"2020/11/30","85500","-2300","-2.62","169","505.92","79245","1.08","750","0.88"
"2020/11/27","87800","800","0.92","169","519.53","79245","1.11","750","0.85"
"2020/11/26","87000","-500","-0.57","169","514.79","79245","1.10","750","0.86"
"2020/11/25","87500","-1100","-1.24","169","517.75","79245","1.10","750","0.86"
"2020/11/24","88600","-600","-0.67","169","524.26","79245","1.12","750","0.85"
"2020/11/23","89200","500","0.56","169","527.81","79245","1.13","750","0.84"
"2020/11/20","88700","-400","-0.45","169","524.85","79245","1.12","750","0.85"
"2020/11/19","89100","300","0.34","169","527.22","79245","1.12","750","0.84"
"2020/11/18","88800","3800","4.47","169","525.44","79245","1.12","750","0.84"
"2020/11/17","85000","-1500","-1.73","169","502.96","79245","1.07","750","0.88"
"2020/11/16","86500","900","1.05","169","511.83","79245","1.09","750","0.87"
"2020/11/13","85600","-500","-0.58","169","506.51","79245","1.08","750","0.88"
"2020/11/12","86100","-700","-0.81","169","509.47","79245","1.09","750","0.87"
"2020/11/11","86800","900","1.05","169","513.61","79245","1.10","750","0.86"
"2020/11/10","85900","-1400","-1.60","169","508.28","79245","1.08","750","0.87"
"2020/11/09","87300","200","0.23","169","516.57","79245","1.10","750","0.86"
"2020/11/06","87100","600","0.69","169","515.38","79245","1.10","750","0.86"
"2020/11/05","86500","400","0.46","169","511.83","79245","1.09","750","0.87"
"2020/11/04","86100","-200","-0.23","169","509.47","79245","1.09","750","0.87"
"2020/11/03","86300","800","0.94","169","510.65","79245","1.09","750","0.87"
"2020/11/02","85500","1500","1.79","169","505.92","79245","1.08","750","0.88"
"2020/10/30","84000","-3200","-3.67","169","497.04","79245","1.06","750","0.89"
"2020/10/29","87200","-2800","-3.11","169","515.98","79245","1.10","750","0.86"
"2020/10/28","90000","600","0.67","169","532.54","79245","1.14","750","0.83"
"2020/10/27","89400","300","0.34","169","528.99","79245","1.13","750","0.84"
"2020/10/26","89100","-500","-0.56","169","527.22","79245","1.12","750","0.84"
"2020/10/23","89600","1200","1.36","169","530.18","79245","1.13","750","0.84"
"2020/10/22","88400","-2000","-2.21","169","523.08","79245","1.12","750","0.85"
"2020/10/21","90400","-300","-0.33","169","534.91","79245","1.14","750","0.83"
"2020/10/20","90700","1600","1.80","169","536.69","79245","1.14","750","0.83"
"2020/10/19","89100","-800","-0.89","169","527.22","79245","1.12","750","0.84"
"2020/10/16","89900","-1500","-1.64","169","531.95","79245","1.13","750","0.83"
"2020/10/15","91400","0","0.00","169","540.83","79245","1.15","750","0.82"
"2020/10/14","91400","-300","-0.33","169","540.83","79245","1.15","750","0.82"
"2020/10/13","91700","-200","-0.22","169","542.60","79245","1.16","750","0.82"
"2020/10/12","91900","-1400","-1.50","169","543.79","79245","1.16","750","0.82"
"2020/10/08","93300","-2800","-2.91","169","552.07","79245","1.18","750","0.80"
"2020/10/07","96100","1700","1.80","169","568.64","79245","1.21","750","0.78"
"2020/10/06","94400","2300","2.50","169","558.58","79245","1.19","750","0.79"
"2020/10/05","92100","400","0.44","169","544.97","79245","1.16","750","0.81"
"2020/09/29","91700","0","0.00","169","542.60","79245","1.16","750","0.82"
"2020/09/28","91700","-1200","-1.29","169","542.60","79245","1.16","750","0.82"
"2020/09/25","92900","3400","3.80","169","549.70","79245","1.17","750","0.81"
"2020/09/24","89500","-1700","-1.86","169","529.59","79245","1.13","750","0.84"
"2020/09/23","91200","2300","2.59","169","539.64","79245","1.15","750","0.82"
"2020/09/22","88900","-2000","-2.20","169","526.04","79245","1.12","750","0.84"
"2020/09/21","90900","1000","1.11","169","537.87","79245","1.15","750","0.83"
"2020/09/18","89900","-700","-0.77","169","531.95","79245","1.13","750","0.83"
"2020/09/17","90600","0","0.00","169","536.09","79245","1.14","750","0.83"
"2020/09/16","90600","-1200","-1.31","169","536.09","79245","1.14","750","0.83"
"2020/09/15","91800","-300","-0.33","169","543.20","79245","1.16","750","0.82"
"2020/09/14","92100","-300","-0.32","169","544.97","79245","1.16","750","0.81"
"2020/09/11","92400","-800","-0.86","169","546.75","79245","1.17","750","0.81"
"2020/09/10","93200","3000","3.33","169","551.48","79245","1.18","750","0.80"
"2020/09/09","90200","4400","5.13","169","533.73","79245","1.14","750","0.83"
"2020/09/08","85800","2000","2.39","169","507.69","79245","1.08","750","0.87"
"2020/09/07","83800","-200","-0.24","169","495.86","79245","1.06","750","0.89"
"2020/09/04","84000","-1700","-1.98","169","497.04","79245","1.06","750","0.89"
"2020/09/03","85700","-800","-0.92","169","507.10","79245","1.08","750","0.88"
"2020/09/02","86500","-1200","-1.37","169","511.83","79245","1.09","750","0.87"
"2020/09/01","87700","3500","4.16","169","518.93","79245","1.11","750","0.86"
"2020/08/31","84200","-1700","-1.98","169","498.22","79245","1.06","750","0.89"
"2020/08/28","85900","-300","-0.35","169","508.28","79245","1.08","750","0.87"
"2020/08/27","86200","-1700","-1.93","169","510.06","79245","1.09","750","0.87"
"2020/08/26","87900","-2400","-2.66","169","520.12","79245","1.11","750","0.85"
"2020/08/25","90300","-300","-0.33","169","534.32","79245","1.14","750","0.83"
"2020/08/24","90600","300","0.33","169","536.09","79245","1.14","750","0.83"
"2020/08/21","90300","5400","6.36","169","534.32","79245","1.14","750","0.83"
"2020/08/20","84900","-100","-0.12","169","502.37","79245","1.07","750","0.88"
"2020/08/19","85000","1000","1.19","169","502.96","79245","1.07","750","0.88"
"2020/08/18","84000","-4700","-5.30","169","497.04","79245","1.06","750","0.89"
"2020/08/14","88700","1700","1.95","169","524.85","79245","1.12","750","0.85"
"2020/08/13","87000","-300","-0.34","169","514.79","79245","1.10","750","0.86"
"2020/08/12","87300","4300","5.18","169","516.57","79245","1.10","750","0.86"
"2020/08/11","83000","-2700","-3.15","169","491.12","79245","1.05","750","0.90"
"2020/08/10","85700","8500","11.01","169","507.10","79245","1.08","750","0.88"
"2020/08/07","77200","0","0.00","169","456.80","79245","0.97","750","0.97"
"2020/08/06","77200","-1100","-1.40","169","456.80","79245","0.97","750","0.97"
"2020/08/05","78300","400","0.51","169","463.31","79245","0.99","750","0.96"
"2020/08/04","77900","3900","5.27","169","460.95","79245","0.98","750","0.96"
"2020/08/03","74000","3300","4.67","169","437.87","79245","0.93","750","1.01"
"2020/07/31","70700","-1400","-1.94","169","418.34","79245","0.89","750","1.06"
"2020/07/30","72100","100","0.14","169","426.63","79245","0.91","750","1.04"
"2020/07/29","72000","-500","-0.69","169","426.04","79245","0.91","750","1.04"
"2020/07/28","72500","-1100","-1.49","169","428.99","79245","0.91","750","1.03"
"2020/07/27","73600","-500","-0.67","169","435.50","79245","0.93","750","1.02"
"2020/07/24","74100","0","0.00","169","438.46","79245","0.94","750","1.01"
"2020/07/23","74100","-900","-1.20","169","438.46","79245","0.94","750","1.01"
"2020/07/22","75000","100","0.13","169","443.79","79245","0.95","750","1.00"
"2020/07/21","74900","-1100","-1.45","169","443.20","79245","0.95","750","1.00"
"2020/07/20","76000","300","0.40","169","449.70","79245","0.96","750","0.99"
