일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/18","40650","-100","-0.25","5590","7.27","49623","0.82","1000","2.46"
"2021/03/17","40750","-100","-0.24","5590","7.29","49623","0.82","1000","2.45"
"2021/03/16","40850","500","1.24","5590","7.31","49623","0.82","1000","2.45"
"2021/03/15","40350","1300","3.33","5590","7.22","49623","0.81","1000","2.48"
"2021/03/12","39050","1000","2.63","5590","6.99","49623","0.79","1000","2.56"
"2021/03/11","38050","1000","2.70","5590","6.81","49623","0.77","1000","2.63"
"2021/03/10","37050","-950","-2.50","5590","6.63","49623","0.75","1000","2.70"
"2021/03/09","38000","1650","4.54","5590","6.80","49623","0.77","1000","2.63"
"2021/03/08","36350","350","0.97","5590","6.50","49623","0.73","1000","2.75"
"2021/03/05","36000","-450","-1.23","5590","6.44","49623","0.73","1000","2.78"
"2021/03/04","36450","-1050","-2.80","5590","6.52","49623","0.73","1000","2.74"
"2021/03/03","37500","500","1.35","5590","6.71","49623","0.76","1000","2.67"
"2021/03/02","37000","650","1.79","5590","6.62","49623","0.75","1000","2.70"
"2021/02/26","36350","-1400","-3.71","5590","6.50","49623","0.73","1000","2.75"
"2021/02/25","37750","1400","3.85","5590","6.75","49623","0.76","1000","2.65"
"2021/02/24","36350","-1500","-3.96","5590","6.50","49623","0.73","1000","2.75"
"2021/02/23","37850","150","0.40","5590","6.77","49623","0.76","1000","2.64"
"2021/02/22","37700","-750","-1.95","5590","6.74","49623","0.76","1000","2.65"
"2021/02/19","38450","50","0.13","5590","6.88","49623","0.77","1000","2.60"
"2021/02/18","38400","-1000","-2.54","5590","6.87","49623","0.77","1000","2.60"
"2021/02/17","39400","-600","-1.50","5590","7.05","49623","0.79","1000","2.54"
"2021/02/16","40000","0","0.00","5590","7.16","49623","0.81","1000","2.50"
"2021/02/15","40000","-700","-1.72","5590","7.16","49623","0.81","1000","2.50"
"2021/02/10","40700","900","2.26","5590","7.28","49623","0.82","1000","2.46"
"2021/02/09","39800","-350","-0.87","5590","7.12","49623","0.80","1000","2.51"
"2021/02/08","40150","-150","-0.37","5590","7.18","49623","0.81","1000","2.49"
"2021/02/05","40300","-650","-1.59","5590","7.21","49623","0.81","1000","2.48"
"2021/02/04","40950","-2050","-4.77","5590","7.33","49623","0.83","1000","2.44"
"2021/02/03","43000","950","2.26","5590","7.69","49623","0.87","1000","2.33"
"2021/02/02","42050","300","0.72","5590","7.52","49623","0.85","1000","2.38"
"2021/02/01","41750","3600","9.44","5590","7.47","49623","0.84","1000","2.40"
"2021/01/29","38150","-1950","-4.86","5590","6.82","49623","0.77","1000","2.62"
"2021/01/28","40100","-1050","-2.55","5590","7.17","49623","0.81","1000","2.49"
"2021/01/27","41150","-350","-0.84","5590","7.36","49623","0.83","1000","2.43"
"2021/01/26","41500","-800","-1.89","5590","7.42","49623","0.84","1000","2.41"
"2021/01/25","42300","-250","-0.59","5590","7.57","49623","0.85","1000","2.36"
"2021/01/22","42550","-950","-2.18","5590","7.61","49623","0.86","1000","2.35"
"2021/01/21","43500","-500","-1.14","5590","7.78","49623","0.88","1000","2.30"
"2021/01/20","44000","-500","-1.12","5590","7.87","49623","0.89","1000","2.27"
"2021/01/19","44500","1400","3.25","5590","7.96","49623","0.90","1000","2.25"
"2021/01/18","43100","1200","2.86","5590","7.71","49623","0.87","1000","2.32"
"2021/01/15","41900","-1000","-2.33","5590","7.50","49623","0.84","1000","2.39"
"2021/01/14","42900","100","0.23","5590","7.67","49623","0.86","1000","2.33"
"2021/01/13","42800","50","0.12","5590","7.66","49623","0.86","1000","2.34"
"2021/01/12","42750","-200","-0.47","5590","7.65","49623","0.86","1000","2.34"
"2021/01/11","42950","1200","2.87","5590","7.68","49623","0.87","1000","2.33"
"2021/01/08","41750","950","2.33","5590","7.47","49623","0.84","1000","2.40"
"2021/01/07","40800","1150","2.90","5590","7.30","49623","0.82","1000","2.45"
"2021/01/06","39650","-350","-0.88","5590","7.09","49623","0.80","1000","2.52"
"2021/01/05","40000","1950","5.12","5590","7.16","49623","0.81","1000","2.50"
"2021/01/04","38050","250","0.66","5590","6.81","49623","0.77","1000","2.63"
"2020/12/30","37800","2050","5.73","5590","6.76","49623","0.76","1000","2.65"
"2020/12/29","35750","700","2.00","5590","6.40","49623","0.72","1000","2.80"
"2020/12/28","35050","-800","-2.23","5590","6.27","49623","0.71","1000","2.85"
"2020/12/24","35850","800","2.28","5590","6.41","49623","0.72","1000","2.79"
"2020/12/23","35050","-450","-1.27","5590","6.27","49623","0.71","1000","2.85"
