일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/18","26950","50","0.19","2526","10.67","52341","0.51","1100","4.08"
"2021/03/17","26900","-250","-0.92","2526","10.65","52341","0.51","1100","4.09"
"2021/03/16","27150","100","0.37","2526","10.75","52341","0.52","1100","4.05"
"2021/03/15","27050","50","0.19","2526","10.71","52341","0.52","1100","4.07"
"2021/03/12","27000","200","0.75","2526","10.69","52341","0.52","1100","4.07"
"2021/03/11","26800","300","1.13","2526","10.61","52341","0.51","1100","4.10"
"2021/03/10","26500","-100","-0.38","2526","10.49","52341","0.51","1100","4.15"
"2021/03/09","26600","500","1.92","2526","10.53","52341","0.51","1100","4.14"
"2021/03/08","26100","100","0.38","2526","10.33","52341","0.50","1100","4.21"
"2021/03/05","26000","-300","-1.14","2526","10.29","52341","0.50","1100","4.23"
"2021/03/04","26300","-150","-0.57","2526","10.41","52341","0.50","1100","4.18"
"2021/03/03","26450","350","1.34","2526","10.47","52341","0.51","1100","4.16"
"2021/03/02","26100","100","0.38","2526","10.33","52341","0.50","1100","4.21"
"2021/02/26","26000","-200","-0.76","2526","10.29","52341","0.50","1100","4.23"
"2021/02/25","26200","400","1.55","2526","10.37","52341","0.50","1100","4.20"
"2021/02/24","25800","-500","-1.90","2526","10.21","52341","0.49","1100","4.26"
"2021/02/23","26300","300","1.15","2526","10.41","52341","0.50","1100","4.18"
"2021/02/22","26000","-650","-2.44","2526","10.29","52341","0.50","1100","4.23"
"2021/02/19","26650","150","0.57","2526","10.55","52341","0.51","1100","4.13"
"2021/02/18","26500","-150","-0.56","2526","10.49","52341","0.51","1100","4.15"
"2021/02/17","26650","100","0.38","2526","10.55","52341","0.51","1100","4.13"
"2021/02/16","26550","1850","7.49","2526","10.51","52341","0.51","1100","4.14"
"2021/02/15","24700","500","2.07","2526","9.78","52341","0.47","1100","4.45"
"2021/02/10","24200","100","0.41","2526","9.58","52341","0.46","1100","4.55"
"2021/02/09","24100","50","0.21","2526","9.54","52341","0.46","1100","4.56"
"2021/02/08","24050","0","0.00","2526","9.52","52341","0.46","1100","4.57"
"2021/02/05","24050","0","0.00","2526","9.52","52341","0.46","1100","4.57"
"2021/02/04","24050","-250","-1.03","2526","9.52","52341","0.46","1100","4.57"
"2021/02/03","24300","50","0.21","2526","9.62","52341","0.46","1100","4.53"
"2021/02/02","24250","200","0.83","2526","9.60","52341","0.46","1100","4.54"
"2021/02/01","24050","100","0.42","2526","9.52","52341","0.46","1100","4.57"
"2021/01/29","23950","250","1.05","2526","9.48","52341","0.46","1100","4.59"
"2021/01/28","23700","-350","-1.46","2526","9.38","52341","0.45","1100","4.64"
"2021/01/27","24050","-100","-0.41","2526","9.52","52341","0.46","1100","4.57"
"2021/01/26","24150","-600","-2.42","2526","9.56","52341","0.46","1100","4.55"
"2021/01/25","24750","1050","4.43","2526","9.80","52341","0.47","1100","4.44"
"2021/01/22","23700","-200","-0.84","2526","9.38","52341","0.45","1100","4.64"
"2021/01/21","23900","150","0.63","2526","9.46","52341","0.46","1100","4.60"
"2021/01/20","23750","50","0.21","2526","9.40","52341","0.45","1100","4.63"
"2021/01/19","23700","100","0.42","2526","9.38","52341","0.45","1100","4.64"
"2021/01/18","23600","-500","-2.07","2526","9.34","52341","0.45","1100","4.66"
"2021/01/15","24100","-50","-0.21","2526","9.54","52341","0.46","1100","4.56"
"2021/01/14","24150","50","0.21","2526","9.56","52341","0.46","1100","4.55"
"2021/01/13","24100","150","0.63","2526","9.54","52341","0.46","1100","4.56"
"2021/01/12","23950","150","0.63","2526","9.48","52341","0.46","1100","4.59"
"2021/01/11","23800","-600","-2.46","2526","9.42","52341","0.45","1100","4.62"
"2021/01/08","24400","-250","-1.01","2526","9.66","52341","0.47","1100","4.51"
"2021/01/07","24650","650","2.71","2526","9.76","52341","0.47","1100","4.46"
"2021/01/06","24000","50","0.21","2526","9.50","52341","0.46","1100","4.58"
"2021/01/05","23950","150","0.63","2526","9.48","52341","0.46","1100","4.59"
"2021/01/04","23800","-200","-0.83","2526","9.42","52341","0.45","1100","4.62"
"2020/12/30","24000","-200","-0.83","2526","9.50","52341","0.46","1100","4.58"
"2020/12/29","24200","-1300","-5.10","2526","9.58","52341","0.46","1100","4.55"
"2020/12/28","25500","50","0.20","2526","10.10","52341","0.49","1100","4.31"
"2020/12/24","25450","300","1.19","2526","10.08","52341","0.49","1100","4.32"
"2020/12/23","25150","-50","-0.20","2526","9.96","52341","0.48","1100","4.37"
"2020/12/22","25200","-400","-1.56","2526","9.98","52341","0.48","1100","4.37"
"2020/12/21","25600","300","1.19","2526","10.13","52341","0.49","1100","4.30"
"2020/12/18","25300","200","0.80","2526","10.02","52341","0.48","1100","4.35"
"2020/12/17","25100","200","0.80","2526","9.94","52341","0.48","1100","4.38"
"2020/12/16","24900","150","0.61","2526","9.86","52341","0.48","1100","4.42"
"2020/12/15","24750","150","0.61","2526","9.80","52341","0.47","1100","4.44"
"2020/12/14","24600","-50","-0.20","2526","9.74","52341","0.47","1100","4.47"
"2020/12/11","24650","450","1.86","2526","9.76","52341","0.47","1100","4.46"
"2020/12/10","24200","-100","-0.41","2526","9.58","52341","0.46","1100","4.55"
"2020/12/09","24300","150","0.62","2526","9.62","52341","0.46","1100","4.53"
"2020/12/08","24150","0","0.00","2526","9.56","52341","0.46","1100","4.55"
"2020/12/07","24150","-250","-1.02","2526","9.56","52341","0.46","1100","4.55"
"2020/12/04","24400","50","0.21","2526","9.66","52341","0.47","1100","4.51"
"2020/12/03","24350","50","0.21","2526","9.64","52341","0.47","1100","4.52"
"2020/12/02","24300","50","0.21","2526","9.62","52341","0.46","1100","4.53"
"2020/12/01","24250","0","0.00","2526","9.60","52341","0.46","1100","4.54"
"2020/11/30","24250","50","0.21","2526","9.60","52341","0.46","1100","4.54"
"2020/11/27","24200","100","0.41","2526","9.58","52341","0.46","1100","4.55"
"2020/11/26","24100","150","0.63","2526","9.54","52341","0.46","1100","4.56"
"2020/11/25","23950","200","0.84","2526","9.48","52341","0.46","1100","4.59"
"2020/11/24","23750","100","0.42","2526","9.40","52341","0.45","1100","4.63"
"2020/11/23","23650","150","0.64","2526","9.36","52341","0.45","1100","4.65"
"2020/11/20","23500","0","0.00","2526","9.30","52341","0.45","1100","4.68"
"2020/11/19","23500","100","0.43","2526","9.30","52341","0.45","1100","4.68"
"2020/11/18","23400","-50","-0.21","2526","9.26","52341","0.45","1100","4.70"
"2020/11/17","23450","-50","-0.21","2526","9.28","52341","0.45","1100","4.69"
"2020/11/16","23500","0","0.00","2526","9.30","52341","0.45","1100","4.68"
"2020/11/13","23500","-100","-0.42","2526","9.30","52341","0.45","1100","4.68"
"2020/11/12","23600","-50","-0.21","2526","9.34","52341","0.45","1100","4.66"
"2020/11/11","23650","500","2.16","2526","9.36","52341","0.45","1100","4.65"
"2020/11/10","23150","50","0.22","2526","9.16","52341","0.44","1100","4.75"
"2020/11/09","23100","200","0.87","2526","9.14","52341","0.44","1100","4.76"
"2020/11/06","22900","0","0.00","2526","9.07","52341","0.44","1100","4.80"
"2020/11/05","22900","50","0.22","2526","9.07","52341","0.44","1100","4.80"
"2020/11/04","22850","200","0.88","2526","9.05","52341","0.44","1100","4.81"
"2020/11/03","22650","300","1.34","2526","8.97","52341","0.43","1100","4.86"
"2020/11/02","22350","250","1.13","2526","8.85","52341","0.43","1100","4.92"
"2020/10/30","22100","-500","-2.21","2526","8.75","52341","0.42","1100","4.98"
"2020/10/29","22600","-250","-1.09","2526","8.95","52341","0.43","1100","4.87"
"2020/10/28","22850","-100","-0.44","2526","9.05","52341","0.44","1100","4.81"
"2020/10/27","22950","0","0.00","2526","9.09","52341","0.44","1100","4.79"
"2020/10/26","22950","-200","-0.86","2526","9.09","52341","0.44","1100","4.79"
"2020/10/23","23150","250","1.09","2526","9.16","52341","0.44","1100","4.75"
"2020/10/22","22900","-200","-0.87","2526","9.07","52341","0.44","1100","4.80"
"2020/10/21","23100","50","0.22","2526","9.14","52341","0.44","1100","4.76"
"2020/10/20","23050","-50","-0.22","2526","9.13","52341","0.44","1100","4.77"
"2020/10/19","23100","200","0.87","2526","9.14","52341","0.44","1100","4.76"
"2020/10/16","22900","50","0.22","2526","9.07","52341","0.44","1100","4.80"
"2020/10/15","22850","-100","-0.44","2526","9.05","52341","0.44","1100","4.81"
"2020/10/14","22950","-200","-0.86","2526","9.09","52341","0.44","1100","4.79"
"2020/10/13","23150","150","0.65","2526","9.16","52341","0.44","1100","4.75"
"2020/10/12","23000","50","0.22","2526","9.11","52341","0.44","1100","4.78"
"2020/10/08","22950","0","0.00","2526","9.09","52341","0.44","1100","4.79"
"2020/10/07","22950","50","0.22","2526","9.09","52341","0.44","1100","4.79"
"2020/10/06","22900","-150","-0.65","2526","9.07","52341","0.44","1100","4.80"
"2020/10/05","23050","100","0.44","2526","9.13","52341","0.44","1100","4.77"
"2020/09/29","22950","350","1.55","2526","9.09","52341","0.44","1100","4.79"
"2020/09/28","22600","200","0.89","2526","8.95","52341","0.43","1100","4.87"
"2020/09/25","22400","0","0.00","2526","8.87","52341","0.43","1100","4.91"
"2020/09/24","22400","-400","-1.75","2526","8.87","52341","0.43","1100","4.91"
"2020/09/23","22800","0","0.00","2526","9.03","52341","0.44","1100","4.82"
"2020/09/22","22800","-500","-2.15","2526","9.03","52341","0.44","1100","4.82"
"2020/09/21","23300","-100","-0.43","2526","9.22","52341","0.45","1100","4.72"
"2020/09/18","23400","100","0.43","2526","9.26","52341","0.45","1100","4.70"
"2020/09/17","23300","-100","-0.43","2526","9.22","52341","0.45","1100","4.72"
"2020/09/16","23400","-150","-0.64","2526","9.26","52341","0.45","1100","4.70"
"2020/09/15","23550","-100","-0.42","2526","9.32","52341","0.45","1100","4.67"
"2020/09/14","23650","400","1.72","2526","9.36","52341","0.45","1100","4.65"
"2020/09/11","23250","0","0.00","2526","9.20","52341","0.44","1100","4.73"
"2020/09/10","23250","-100","-0.43","2526","9.20","52341","0.44","1100","4.73"
"2020/09/09","23350","-300","-1.27","2526","9.24","52341","0.45","1100","4.71"
"2020/09/08","23650","100","0.42","2526","9.36","52341","0.45","1100","4.65"
"2020/09/07","23550","50","0.21","2526","9.32","52341","0.45","1100","4.67"
"2020/09/04","23500","-300","-1.26","2526","9.30","52341","0.45","1100","4.68"
"2020/09/03","23800","-50","-0.21","2526","9.42","52341","0.45","1100","4.62"
"2020/09/02","23850","50","0.21","2526","9.44","52341","0.46","1100","4.61"
"2020/09/01","23800","-100","-0.42","2526","9.42","52341","0.45","1100","4.62"
"2020/08/31","23900","150","0.63","2526","9.46","52341","0.46","1100","4.60"
"2020/08/28","23750","-50","-0.21","2526","9.40","52341","0.45","1100","4.63"
"2020/08/27","23800","-200","-0.83","2526","9.42","52341","0.45","1100","4.62"
"2020/08/26","24000","-300","-1.23","2526","9.50","52341","0.46","1100","4.58"
"2020/08/25","24300","400","1.67","2526","9.62","52341","0.46","1100","4.53"
"2020/08/24","23900","0","0.00","2526","9.46","52341","0.46","1100","4.60"
"2020/08/21","23900","250","1.06","2526","9.46","52341","0.46","1100","4.60"
"2020/08/20","23650","-750","-3.07","2526","9.36","52341","0.45","1100","4.65"
"2020/08/19","24400","0","0.00","2526","9.66","52341","0.47","1100","4.51"
"2020/08/18","24400","-950","-3.75","2526","9.66","52341","0.47","1100","4.51"
"2020/08/14","25350","-150","-0.59","2526","10.04","52341","0.48","1100","4.34"
"2020/08/13","25500","-100","-0.39","2526","10.10","52341","0.49","1100","4.31"
"2020/08/12","25600","850","3.43","2526","10.13","52341","0.49","1100","4.30"
"2020/08/11","24750","300","1.23","2526","9.80","52341","0.47","1100","4.44"
"2020/08/10","24450","600","2.52","2526","9.68","52341","0.47","1100","4.50"
"2020/08/07","23850","50","0.21","2526","9.44","52341","0.46","1100","4.61"
"2020/08/06","23800","100","0.42","2526","9.42","52341","0.45","1100","4.62"
"2020/08/05","23700","-50","-0.21","2526","9.38","52341","0.45","1100","4.64"
"2020/08/04","23750","150","0.64","2526","9.40","52341","0.45","1100","4.63"
"2020/08/03","23600","-200","-0.84","2526","9.34","52341","0.45","1100","4.66"
"2020/07/31","23800","0","0.00","2526","9.42","52341","0.45","1100","4.62"
"2020/07/30","23800","-50","-0.21","2526","9.42","52341","0.45","1100","4.62"
"2020/07/29","23850","150","0.63","2526","9.44","52341","0.46","1100","4.61"
"2020/07/28","23700","100","0.42","2526","9.38","52341","0.45","1100","4.64"
"2020/07/27","23600","-50","-0.21","2526","9.34","52341","0.45","1100","4.66"
"2020/07/24","23650","-200","-0.84","2526","9.36","52341","0.45","1100","4.65"
"2020/07/23","23850","-250","-1.04","2526","9.44","52341","0.46","1100","4.61"
"2020/07/22","24100","0","0.00","2526","9.54","52341","0.46","1100","4.56"
"2020/07/21","24100","-50","-0.21","2526","9.54","52341","0.46","1100","4.56"
"2020/07/20","24150","-150","-0.62","2526","9.56","52341","0.46","1100","4.55"
"2020/07/17","24300","-150","-0.61","2526","9.62","52341","0.46","1100","4.53"
"2020/07/16","24450","-250","-1.01","2526","9.68","52341","0.47","1100","4.50"
"2020/07/15","24700","100","0.41","2526","9.78","52341","0.47","1100","4.45"
"2020/07/14","24600","250","1.03","2526","9.74","52341","0.47","1100","4.47"
"2020/07/13","24350","450","1.88","2526","9.64","52341","0.47","1100","4.52"
"2020/07/10","23900","150","0.63","2526","9.46","52341","0.46","1100","4.60"
"2020/07/09","23750","150","0.64","2526","9.40","52341","0.45","1100","4.63"
"2020/07/08","23600","-350","-1.46","2526","9.34","52341","0.45","1100","4.66"
"2020/07/07","23950","-300","-1.24","2526","9.48","52341","0.46","1100","4.59"
"2020/07/06","24250","50","0.21","2526","9.60","52341","0.46","1100","4.54"
"2020/07/03","24200","100","0.41","2526","9.58","52341","0.46","1100","4.55"
"2020/07/02","24100","650","2.77","2526","9.54","52341","0.46","1100","4.56"
"2020/07/01","23450","-100","-0.42","2526","9.28","52341","0.45","1100","4.69"
"2020/06/30","23550","300","1.29","2526","9.32","52341","0.45","1100","4.67"
"2020/06/29","23250","-450","-1.90","2526","9.20","52341","0.44","1100","4.73"
"2020/06/26","23700","400","1.72","2526","9.38","52341","0.45","1100","4.64"
"2020/06/25","23300","-500","-2.10","2526","9.22","52341","0.45","1100","4.72"
"2020/06/24","23800","-200","-0.83","2526","9.42","52341","0.45","1100","4.62"
"2020/06/23","24000","-50","-0.21","2526","9.50","52341","0.46","1100","4.58"
"2020/06/22","24050","400","1.69","2526","9.52","52341","0.46","1100","4.57"
"2020/06/19","23650","150","0.64","2526","9.36","52341","0.45","1100","4.65"
"2020/06/18","23500","100","0.43","2526","9.30","52341","0.45","1100","4.68"
"2020/06/17","23400","-250","-1.06","2526","9.26","52341","0.45","1100","4.70"
"2020/06/16","23650","950","4.19","2526","9.36","52341","0.45","1100","4.65"
"2020/06/15","22700","-1100","-4.62","2526","8.99","52341","0.43","1100","4.85"
"2020/06/12","23800","-550","-2.26","2526","9.42","52341","0.45","1100","4.62"
"2020/06/11","24350","-450","-1.81","2526","9.64","52341","0.47","1100","4.52"
"2020/06/10","24800","-150","-0.60","2526","9.82","52341","0.47","1100","4.44"
"2020/06/09","24950","-150","-0.60","2526","9.88","52341","0.48","1100","4.41"
"2020/06/08","25100","-200","-0.79","2526","9.94","52341","0.48","1100","4.38"
"2020/06/05","25300","50","0.20","2526","10.02","52341","0.48","1100","4.35"
"2020/06/04","25250","-300","-1.17","2526","10.00","52341","0.48","1100","4.36"
"2020/06/03","25550","400","1.59","2526","10.11","52341","0.49","1100","4.31"
"2020/06/02","25150","300","1.21","2526","9.96","52341","0.48","1100","4.37"
"2020/06/01","24850","500","2.05","2526","9.84","52341","0.47","1100","4.43"
"2020/05/29","24350","0","0.00","2526","9.64","52341","0.47","1100","4.52"
"2020/05/28","24350","-150","-0.61","2526","9.64","52341","0.47","1100","4.52"
"2020/05/27","24500","-450","-1.80","2526","9.70","52341","0.47","1100","4.49"
"2020/05/26","24950","600","2.46","2526","9.88","52341","0.48","1100","4.41"
"2020/05/25","24350","200","0.83","2526","9.64","52341","0.47","1100","4.52"
"2020/05/22","24150","-200","-0.82","2526","9.56","52341","0.46","1100","4.55"
"2020/05/21","24350","-550","-2.21","2526","9.64","52341","0.47","1100","4.52"
"2020/05/20","24900","-100","-0.40","2526","9.86","52341","0.48","1100","4.42"
"2020/05/19","25000","300","1.21","2526","9.90","52341","0.48","1100","4.40"
"2020/05/18","24700","0","0.00","2526","9.78","52341","0.47","1100","4.45"
"2020/05/15","24700","600","2.49","2526","9.78","52341","0.47","1100","4.45"
"2020/05/14","24100","300","1.26","2526","9.54","52341","0.46","1100","4.56"
"2020/05/13","23800","150","0.63","2526","9.42","52341","0.45","1100","4.62"
"2020/05/12","23650","200","0.85","2526","9.36","52341","0.45","1100","4.65"
"2020/05/11","23450","-300","-1.26","2526","9.28","52341","0.45","1100","4.69"
"2020/05/08","23750","250","1.06","2526","9.40","52341","0.45","1100","4.63"
"2020/05/07","23500","0","0.00","2526","9.30","52341","0.45","1100","4.68"
"2020/05/06","23500","-150","-0.63","2526","9.30","52341","0.45","1100","4.68"
"2020/05/04","23650","-200","-0.84","2526","9.36","52341","0.45","1100","4.65"
"2020/04/29","23850","300","1.27","2809","8.49","50563","0.47","1100","4.61"
"2020/04/28","23550","-50","-0.21","2809","8.38","50563","0.47","1100","4.67"
"2020/04/27","23600","450","1.94","2809","8.40","50563","0.47","1100","4.66"
"2020/04/24","23150","-450","-1.91","2809","8.24","50563","0.46","1100","4.75"
"2020/04/23","23600","400","1.72","2809","8.40","50563","0.47","1100","4.66"
"2020/04/22","23200","400","1.75","2809","8.26","50563","0.46","1100","4.74"
"2020/04/21","22800","-250","-1.08","2809","8.12","50563","0.45","1100","4.82"
"2020/04/20","23050","1050","4.77","2809","8.21","50563","0.46","1100","4.77"
"2020/04/17","22000","500","2.33","2809","7.83","50563","0.44","1100","5.00"
"2020/04/16","21500","-200","-0.92","2809","7.65","50563","0.43","1100","5.12"
"2020/04/14","21700","500","2.36","2809","7.73","50563","0.43","1100","5.07"
"2020/04/13","21200","-450","-2.08","2809","7.55","50563","0.42","1100","5.19"
"2020/04/10","21650","0","0.00","2809","7.71","50563","0.43","1100","5.08"
"2020/04/09","21650","50","0.23","2809","7.71","50563","0.43","1100","5.08"
"2020/04/08","21600","300","1.41","2809","7.69","50563","0.43","1100","5.09"
"2020/04/07","21300","-100","-0.47","2809","7.58","50563","0.42","1100","5.16"
"2020/04/06","21400","1500","7.54","2809","7.62","50563","0.42","1100","5.14"
"2020/04/03","19900","-50","-0.25","2809","7.08","50563","0.39","1100","5.53"
"2020/04/02","19950","600","3.10","2809","7.10","50563","0.39","1100","5.51"
"2020/04/01","19350","-500","-2.52","2809","6.89","50563","0.38","1100","5.68"
"2020/03/31","19850","150","0.76","2809","7.07","50563","0.39","1100","5.54"
"2020/03/30","19700","-250","-1.25","2809","7.01","50563","0.39","1100","5.58"
"2020/03/27","19950","650","3.37","2809","7.10","50563","0.39","1100","5.51"
"2020/03/26","19300","-100","-0.52","2809","6.87","50563","0.38","1100","5.70"
"2020/03/25","19400","950","5.15","2809","6.91","50563","0.38","1100","5.67"
"2020/03/24","18450","800","4.53","2809","6.57","50563","0.36","1100","5.96"
"2020/03/23","17650","-1250","-6.61","2809","6.28","50563","0.35","1100","6.23"
"2020/03/20","18900","1100","6.18","2809","6.73","50563","0.37","1100","5.82"
"2020/03/19","17800","-1200","-6.32","2809","6.34","50563","0.35","1100","6.18"
"2020/03/18","19000","-1150","-5.71","2809","6.76","50563","0.38","1100","5.79"
"2020/03/17","20150","-600","-2.89","2809","7.17","50563","0.40","1100","5.46"
"2020/03/16","20750","-250","-1.19","2809","7.39","50563","0.41","1100","5.30"
"2020/03/13","21000","-1000","-4.55","2809","7.48","50563","0.42","1100","5.24"
"2020/03/12","22000","-850","-3.72","2809","7.83","50563","0.44","1100","5.00"
"2020/03/11","22850","-600","-2.56","2809","8.13","50563","0.45","1100","4.81"
"2020/03/10","23450","0","0.00","2809","8.35","50563","0.46","1100","4.69"
"2020/03/09","23450","-500","-2.09","2809","8.35","50563","0.46","1100","4.69"
"2020/03/06","23950","-350","-1.44","2809","8.53","50563","0.47","1100","4.59"
"2020/03/05","24300","650","2.75","2809","8.65","50563","0.48","1100","4.53"
"2020/03/04","23650","150","0.64","2809","8.42","50563","0.47","1100","4.65"
"2020/03/03","23500","-50","-0.21","2809","8.37","50563","0.46","1100","4.68"
"2020/03/02","23550","-350","-1.46","2809","8.38","50563","0.47","1100","4.67"
"2020/02/28","23900","-400","-1.65","2809","8.51","50563","0.47","1100","4.60"
"2020/02/27","24300","300","1.25","2809","8.65","50563","0.48","1100","4.53"
"2020/02/26","24000","-100","-0.41","2809","8.54","50563","0.47","1100","4.58"
"2020/02/25","24100","0","0.00","2809","8.58","50563","0.48","1100","4.56"
"2020/02/24","24100","-600","-2.43","2809","8.58","50563","0.48","1100","4.56"
"2020/02/21","24700","-150","-0.60","2809","8.79","50563","0.49","1100","4.45"
"2020/02/20","24850","-150","-0.60","2809","8.85","50563","0.49","1100","4.43"
"2020/02/19","25000","0","0.00","2809","8.90","50563","0.49","1100","4.40"
"2020/02/18","25000","-100","-0.40","2809","8.90","50563","0.49","1100","4.40"
"2020/02/17","25100","100","0.40","2809","8.94","50563","0.50","1100","4.38"
"2020/02/14","25000","-200","-0.79","2809","8.90","50563","0.49","1100","4.40"
"2020/02/13","25200","-200","-0.79","2809","8.97","50563","0.50","1100","4.37"
"2020/02/12","25400","250","0.99","2809","9.04","50563","0.50","1100","4.33"
"2020/02/11","25150","-50","-0.20","2809","8.95","50563","0.50","1100","4.37"
"2020/02/10","25200","-100","-0.40","2809","8.97","50563","0.50","1100","4.37"
"2020/02/07","25300","-150","-0.59","2809","9.01","50563","0.50","1100","4.35"
"2020/02/06","25450","500","2.00","2809","9.06","50563","0.50","1100","4.32"
"2020/02/05","24950","150","0.60","2809","8.88","50563","0.49","1100","4.41"
"2020/02/04","24800","50","0.20","2809","8.83","50563","0.49","1100","4.44"
"2020/02/03","24750","-600","-2.37","2809","8.81","50563","0.49","1100","4.44"
"2020/01/31","25350","0","0.00","2809","9.02","50563","0.50","1100","4.34"
"2020/01/30","25350","-250","-0.98","2809","9.02","50563","0.50","1100","4.34"
"2020/01/29","25600","150","0.59","2809","9.11","50563","0.51","1100","4.30"
"2020/01/28","25450","-650","-2.49","2809","9.06","50563","0.50","1100","4.32"
"2020/01/23","26100","-150","-0.57","2809","9.29","50563","0.52","1100","4.21"
"2020/01/22","26250","150","0.57","2809","9.34","50563","0.52","1100","4.19"
"2020/01/21","26100","0","0.00","2809","9.29","50563","0.52","1100","4.21"
"2020/01/20","26100","0","0.00","2809","9.29","50563","0.52","1100","4.21"
"2020/01/17","26100","-50","-0.19","2809","9.29","50563","0.52","1100","4.21"
"2020/01/16","26150","-50","-0.19","2809","9.31","50563","0.52","1100","4.21"
"2020/01/15","26200","0","0.00","2809","9.33","50563","0.52","1100","4.20"
"2020/01/14","26200","50","0.19","2809","9.33","50563","0.52","1100","4.20"
"2020/01/13","26150","100","0.38","2809","9.31","50563","0.52","1100","4.21"
"2020/01/10","26050","0","0.00","2809","9.27","50563","0.52","1100","4.22"
"2020/01/09","26050","-100","-0.38","2809","9.27","50563","0.52","1100","4.22"
"2020/01/08","26150","-400","-1.51","2809","9.31","50563","0.52","1100","4.21"
"2020/01/07","26550","150","0.57","2809","9.45","50563","0.53","1100","4.14"
