일자,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"2021/03/18","16550","150","0.91","968","17.10","22301","0.74","150","0.91"
"2021/03/17","16400","-250","-1.50","968","16.94","22301","0.74","150","0.91"
"2021/03/16","16650","-50","-0.30","968","17.20","22301","0.75","150","0.90"
"2021/03/15","16700","400","2.45","968","17.25","22301","0.75","150","0.90"
"2021/03/12","16300","100","0.62","968","16.84","22301","0.73","150","0.92"
"2021/03/11","16200","200","1.25","968","16.74","22301","0.73","150","0.93"
"2021/03/10","16000","-200","-1.23","968","16.53","22301","0.72","150","0.94"
"2021/03/09","16200","-200","-1.22","968","16.74","22301","0.73","150","0.93"
"2021/03/08","16400","0","0.00","968","16.94","22301","0.74","150","0.91"
"2021/03/05","16400","-50","-0.30","968","16.94","22301","0.74","150","0.91"
"2021/03/04","16450","-50","-0.30","968","16.99","22301","0.74","150","0.91"
"2021/03/03","16500","250","1.54","968","17.05","22301","0.74","150","0.91"
"2021/03/02","16250","50","0.31","968","16.79","22301","0.73","150","0.92"
"2021/02/26","16200","-250","-1.52","968","16.74","22301","0.73","150","0.93"
"2021/02/25","16450","250","1.54","968","16.99","22301","0.74","150","0.91"
"2021/02/24","16200","-350","-2.11","968","16.74","22301","0.73","150","0.93"
"2021/02/23","16550","250","1.53","968","17.10","22301","0.74","150","0.91"
"2021/02/22","16300","-200","-1.21","968","16.84","22301","0.73","150","0.92"
"2021/02/19","16500","-250","-1.49","968","17.05","22301","0.74","150","0.91"
"2021/02/18","16750","-200","-1.18","968","17.30","22301","0.75","150","0.90"
"2021/02/17","16950","100","0.59","968","17.51","22301","0.76","150","0.88"
"2021/02/16","16850","-250","-1.46","968","17.41","22301","0.76","150","0.89"
"2021/02/15","17100","-200","-1.16","968","17.67","22301","0.77","150","0.88"
"2021/02/10","17300","250","1.47","968","17.87","22301","0.78","150","0.87"
"2021/02/09","17050","-1250","-6.83","968","17.61","22301","0.76","150","0.88"
"2021/02/08","18300","250","1.39","968","18.90","22301","0.82","150","0.82"
"2021/02/05","18050","50","0.28","968","18.65","22301","0.81","150","0.83"
"2021/02/04","18000","250","1.41","968","18.60","22301","0.81","150","0.83"
"2021/02/03","17750","650","3.80","968","18.34","22301","0.80","150","0.85"
"2021/02/02","17100","-200","-1.16","968","17.67","22301","0.77","150","0.88"
"2021/02/01","17300","1050","6.46","968","17.87","22301","0.78","150","0.87"
"2021/01/29","16250","-600","-3.56","968","16.79","22301","0.73","150","0.92"
"2021/01/28","16850","-800","-4.53","968","17.41","22301","0.76","150","0.89"
"2021/01/27","17650","-100","-0.56","968","18.23","22301","0.79","150","0.85"
"2021/01/26","17750","750","4.41","968","18.34","22301","0.80","150","0.85"
"2021/01/25","17000","550","3.34","968","17.56","22301","0.76","150","0.88"
"2021/01/22","16450","-150","-0.90","968","16.99","22301","0.74","150","0.91"
"2021/01/21","16600","50","0.30","968","17.15","22301","0.74","150","0.90"
"2021/01/20","16550","50","0.30","968","17.10","22301","0.74","150","0.91"
"2021/01/19","16500","450","2.80","968","17.05","22301","0.74","150","0.91"
"2021/01/18","16050","-600","-3.60","968","16.58","22301","0.72","150","0.93"
"2021/01/15","16650","-150","-0.89","968","17.20","22301","0.75","150","0.90"
"2021/01/14","16800","150","0.90","968","17.36","22301","0.75","150","0.89"
"2021/01/13","16650","-150","-0.89","968","17.20","22301","0.75","150","0.90"
"2021/01/12","16800","-150","-0.88","968","17.36","22301","0.75","150","0.89"
"2021/01/11","16950","350","2.11","968","17.51","22301","0.76","150","0.88"
"2021/01/08","16600","0","0.00","968","17.15","22301","0.74","150","0.90"
"2021/01/07","16600","200","1.22","968","17.15","22301","0.74","150","0.90"
"2021/01/06","16400","-400","-2.38","968","16.94","22301","0.74","150","0.91"
"2021/01/05","16800","800","5.00","968","17.36","22301","0.75","150","0.89"
"2021/01/04","16000","50","0.31","968","16.53","22301","0.72","150","0.94"
"2020/12/30","15950","0","0.00","968","16.48","22301","0.72","150","0.94"
"2020/12/29","15950","450","2.90","968","16.48","22301","0.72","150","0.94"
"2020/12/28","15500","200","1.31","968","16.01","22301","0.70","150","0.97"
"2020/12/24","15300","250","1.66","968","15.81","22301","0.69","150","0.98"
"2020/12/23","15050","-100","-0.66","968","15.55","22301","0.67","150","1.00"
"2020/12/22","15150","-450","-2.88","968","15.65","22301","0.68","150","0.99"
"2020/12/21","15600","-150","-0.95","968","16.12","22301","0.70","150","0.96"
"2020/12/18","15750","-200","-1.25","968","16.27","22301","0.71","150","0.95"
"2020/12/17","15950","0","0.00","968","16.48","22301","0.72","150","0.94"
"2020/12/16","15950","-100","-0.62","968","16.48","22301","0.72","150","0.94"
"2020/12/15","16050","750","4.90","968","16.58","22301","0.72","150","0.93"
"2020/12/14","15300","-450","-2.86","968","15.81","22301","0.69","150","0.98"
"2020/12/11","15750","400","2.61","968","16.27","22301","0.71","150","0.95"
"2020/12/10","15350","250","1.66","968","15.86","22301","0.69","150","0.98"
"2020/12/09","15100","-50","-0.33","968","15.60","22301","0.68","150","0.99"
"2020/12/08","15150","100","0.66","968","15.65","22301","0.68","150","0.99"
"2020/12/07","15050","500","3.44","968","15.55","22301","0.67","150","1.00"
"2020/12/04","14550","50","0.34","968","15.03","22301","0.65","150","1.03"
"2020/12/03","14500","-100","-0.68","968","14.98","22301","0.65","150","1.03"
"2020/12/02","14600","-100","-0.68","968","15.08","22301","0.65","150","1.03"
"2020/12/01","14700","0","0.00","968","15.19","22301","0.66","150","1.02"
"2020/11/30","14700","-50","-0.34","968","15.19","22301","0.66","150","1.02"
"2020/11/27","14750","-50","-0.34","968","15.24","22301","0.66","150","1.02"
"2020/11/26","14800","100","0.68","968","15.29","22301","0.66","150","1.01"
"2020/11/25","14700","-200","-1.34","968","15.19","22301","0.66","150","1.02"
"2020/11/24","14900","-100","-0.67","968","15.39","22301","0.67","150","1.01"
"2020/11/23","15000","150","1.01","968","15.50","22301","0.67","150","1.00"
"2020/11/20","14850","0","0.00","968","15.34","22301","0.67","150","1.01"
"2020/11/19","14850","0","0.00","968","15.34","22301","0.67","150","1.01"
"2020/11/18","14850","0","0.00","968","15.34","22301","0.67","150","1.01"
"2020/11/17","14850","-150","-1.00","968","15.34","22301","0.67","150","1.01"
"2020/11/16","15000","100","0.67","968","15.50","22301","0.67","150","1.00"
"2020/11/13","14900","-50","-0.33","968","15.39","22301","0.67","150","1.01"
"2020/11/12","14950","-50","-0.33","968","15.44","22301","0.67","150","1.00"
"2020/11/11","15000","-400","-2.60","968","15.50","22301","0.67","150","1.00"
"2020/11/10","15400","-1000","-6.10","968","15.91","22301","0.69","150","0.97"
"2020/11/09","16400","250","1.55","968","16.94","22301","0.74","150","0.91"
"2020/11/06","16150","-150","-0.92","968","16.68","22301","0.72","150","0.93"
"2020/11/05","16300","200","1.24","968","16.84","22301","0.73","150","0.92"
"2020/11/04","16100","0","0.00","968","16.63","22301","0.72","150","0.93"
"2020/11/03","16100","200","1.26","968","16.63","22301","0.72","150","0.93"
"2020/11/02","15900","550","3.58","968","16.43","22301","0.71","150","0.94"
"2020/10/30","15350","-250","-1.60","968","15.86","22301","0.69","150","0.98"
"2020/10/29","15600","500","3.31","968","16.12","22301","0.70","150","0.96"
"2020/10/28","15100","50","0.33","968","15.60","22301","0.68","150","0.99"
"2020/10/27","15050","-150","-0.99","968","15.55","22301","0.67","150","1.00"
"2020/10/26","15200","-600","-3.80","968","15.70","22301","0.68","150","0.99"
"2020/10/23","15800","-150","-0.94","968","16.32","22301","0.71","150","0.95"
"2020/10/22","15950","-200","-1.24","968","16.48","22301","0.72","150","0.94"
"2020/10/21","16150","350","2.22","968","16.68","22301","0.72","150","0.93"
