날짜,공매도,매수,비중
2015-09-24,400,1325258,0.03
2015-09-25,0,725178,0.0
2015-09-30,0,303228,0.0
2015-10-01,0,143107,0.0
2015-10-02,0,95944,0.0
2015-10-05,0,70812,0.0
2015-10-06,0,77299,0.0
2015-10-07,65,55457,0.12
2015-10-08,0,49541,0.0
2015-10-12,0,69021,0.0
2015-10-13,0,93453,0.0
2015-10-14,0,135759,0.0
2015-10-15,0,213553,0.0
2015-10-16,0,61750,0.0
2015-10-19,0,49227,0.0
2015-10-20,0,63728,0.0
2015-10-21,0,39794,0.0
2015-10-22,0,67116,0.0
2015-10-23,0,62589,0.0
2015-10-26,0,151687,0.0
2015-10-27,0,50448,0.0
2015-10-28,78,42180,0.18
2015-10-29,0,31701,0.0
2015-10-30,0,62294,0.0
2015-11-02,78,138764,0.06
2015-11-03,0,76171,0.0
2015-11-04,0,115316,0.0
2015-11-05,0,127550,0.0
2015-11-06,0,93270,0.0
2015-11-09,0,90507,0.0
2015-11-10,0,70520,0.0
2015-11-11,0,78291,0.0
2015-11-12,0,85073,0.0
2015-11-13,0,33084,0.0
2015-11-16,0,28745,0.0
2015-11-17,0,27880,0.0
2015-11-18,0,27669,0.0
2015-11-19,90,25310,0.36
2015-11-20,0,26194,0.0
2015-11-23,0,21903,0.0
2015-11-24,0,36870,0.0
2015-11-25,0,38563,0.0
2015-11-26,0,35991,0.0
2015-11-27,0,36321,0.0
2015-11-30,0,12378,0.0
2015-12-01,0,14497,0.0
2015-12-02,0,18154,0.0
2015-12-03,0,8819,0.0
2015-12-04,0,17755,0.0
2015-12-07,93,20513,0.45
2015-12-08,104,37856,0.27
2015-12-09,0,30132,0.0
2015-12-10,0,45520,0.0
2015-12-11,74,17721,0.42
2015-12-14,62,37324,0.17
2015-12-15,0,23534,0.0
2015-12-16,221,31452,0.7
2015-12-17,0,17971,0.0
2015-12-18,744,24732,3.01
2015-12-21,0,28112,0.0
2015-12-22,0,37125,0.0
2015-12-23,0,22348,0.0
2015-12-24,0,244155,0.0
2015-12-28,74,108209,0.07
2015-12-29,0,56017,0.0
2015-12-30,225,27971,0.8
2016-01-04,55,24281,0.23
2016-01-05,0,19449,0.0
2016-01-06,1547,22495,6.88
2016-01-07,399,12264,3.25
2016-01-08,0,66138,0.0
2016-01-11,0,18111,0.0
2016-01-12,0,23631,0.0
2016-01-13,19,45093,0.04
2016-01-14,0,21251,0.0
2016-01-15,0,22816,0.0
2016-01-18,0,30942,0.0
2016-01-19,128,7209,1.78
2016-01-20,0,26996,0.0
2016-01-21,31,8031,0.39
2016-01-22,70,18564,0.38
2016-01-25,57,19525,0.29
2016-01-26,0,18438,0.0
2016-01-27,0,15547,0.0
2016-01-28,0,42684,0.0
2016-01-29,1,43726,0.0
2016-02-01,0,37536,0.0
2016-02-02,0,67670,0.0
2016-02-03,0,53224,0.0
2016-02-04,0,70606,0.0
2016-02-05,0,81222,0.0
2016-02-11,0,43882,0.0
2016-02-12,17,22832,0.07
2016-02-15,0,14610,0.0
2016-02-16,0,18729,0.0
2016-02-17,0,26596,0.0
2016-02-18,23,24440,0.09
2016-02-19,0,25685,0.0
2016-02-22,0,26564,0.0
2016-02-23,0,26250,0.0
2016-02-24,155,21753,0.71
2016-02-25,74,32966,0.22
