날짜,공매도,매수,비중
2000-01-04,0,12320,0.0
2000-01-05,0,13140,0.0
2000-01-06,0,27190,0.0
2000-01-07,0,9010,0.0
2000-01-10,0,25710,0.0
2000-01-11,0,16210,0.0
2000-01-12,0,20630,0.0
2000-01-13,0,80330,0.0
2000-01-14,0,137090,0.0
2000-01-17,0,71060,0.0
2000-01-18,0,59780,0.0
2000-01-19,0,77010,0.0
2000-01-20,0,64980,0.0
2000-01-21,0,29460,0.0
2000-01-24,0,22820,0.0
2000-01-25,0,25800,0.0
2000-01-26,0,27530,0.0
2000-01-27,0,38160,0.0
2000-01-28,0,36800,0.0
2000-01-31,0,37290,0.0
2000-02-01,0,27290,0.0
2000-02-02,0,41850,0.0
2000-02-03,0,32170,0.0
2000-02-07,0,46420,0.0
2000-02-08,0,24470,0.0
2000-02-09,0,20320,0.0
2000-02-10,0,17980,0.0
2000-02-11,0,10670,0.0
2000-02-14,0,12290,0.0
2000-02-15,0,15520,0.0
2000-02-16,0,22650,0.0
2000-02-17,0,15510,0.0
2000-02-18,0,21320,0.0
2000-02-21,0,22640,0.0
2000-02-22,0,10680,0.0
2000-02-23,0,40490,0.0
2000-02-24,0,60590,0.0
2000-02-25,0,33660,0.0
2000-02-28,0,80420,0.0
2000-02-29,0,104980,0.0
2000-03-02,0,52970,0.0
2000-03-03,0,53610,0.0
2000-03-06,0,257100,0.0
2000-03-07,0,225550,0.0
2000-03-08,0,189520,0.0
2000-03-09,0,130250,0.0
2000-03-10,0,182480,0.0
2000-03-13,0,164760,0.0
2000-03-14,0,93600,0.0
2000-03-15,0,95260,0.0
2000-03-16,0,138150,0.0
2000-03-17,0,332250,0.0
2000-03-20,0,146240,0.0
2000-03-21,0,105650,0.0
2000-03-22,0,102840,0.0
2000-03-23,0,59930,0.0
2000-03-24,0,72430,0.0
2000-03-27,0,55700,0.0
2000-03-28,0,56870,0.0
2000-03-29,0,42970,0.0
2000-03-30,0,55230,0.0
2000-03-31,0,48130,0.0
2000-04-03,0,24530,0.0
2000-04-04,0,22880,0.0
2000-04-06,0,16790,0.0
2000-04-07,0,22710,0.0
2000-04-10,0,36460,0.0
2000-04-11,0,23570,0.0
2000-04-12,0,17950,0.0
2000-04-14,0,23250,0.0
2000-04-17,0,19490,0.0
2000-04-18,0,26880,0.0
2000-04-19,0,20410,0.0
2000-04-20,0,25420,0.0
2000-04-21,0,21180,0.0
2000-04-24,0,62460,0.0
2000-04-25,0,368990,0.0
2000-04-26,0,110480,0.0
2000-04-27,0,65900,0.0
2000-04-28,0,41510,0.0
2000-05-02,0,41830,0.0
2000-05-03,0,30400,0.0
2000-05-04,0,31040,0.0
2000-05-08,0,31940,0.0
2000-05-09,0,14870,0.0
2000-05-10,0,16670,0.0
2000-05-12,0,20450,0.0
2000-05-15,0,38740,0.0
2000-05-16,0,12920,0.0
2000-05-17,0,23170,0.0
2000-05-18,0,25200,0.0
2000-05-19,0,22470,0.0
2000-05-22,0,11150,0.0
2000-05-23,0,19440,0.0
2000-05-24,0,25380,0.0
2000-05-25,0,30710,0.0
2000-05-26,0,21970,0.0
2000-05-29,0,15280,0.0
2000-05-30,0,17130,0.0
2000-05-31,0,29650,0.0
2000-06-01,0,20850,0.0
2000-06-02,0,22770,0.0
2000-06-05,0,36890,0.0
2000-06-07,0,45900,0.0
2000-06-08,0,17610,0.0
2000-06-09,0,16370,0.0
2000-06-12,0,28940,0.0
2000-06-13,0,17990,0.0
2000-06-14,0,11420,0.0
2000-06-15,0,13560,0.0
2000-06-16,0,17930,0.0
2000-06-19,0,7830,0.0
2000-06-20,0,15650,0.0
2000-06-21,0,20500,0.0
2000-06-22,0,12050,0.0
2000-06-23,0,7740,0.0
2000-06-26,0,16580,0.0
2000-06-27,0,16070,0.0
2000-06-28,0,31940,0.0
2000-06-29,0,15450,0.0
2000-06-30,0,6110,0.0
2000-07-03,0,39560,0.0
2000-07-04,0,54000,0.0
2000-07-05,0,24910,0.0
2000-07-06,0,30770,0.0
2000-07-07,0,53730,0.0
2000-07-10,0,45680,0.0
2000-07-11,0,39390,0.0
2000-07-12,0,20200,0.0
2000-07-13,0,23000,0.0
2000-07-14,0,12060,0.0
2000-07-18,0,37560,0.0
2000-07-19,0,23500,0.0
2000-07-20,0,11400,0.0
2000-07-21,0,12380,0.0
2000-07-24,0,14430,0.0
2000-07-25,0,11170,0.0
2000-07-26,0,7620,0.0
2000-07-27,0,11400,0.0
2000-07-28,0,9140,0.0
2000-07-31,0,16400,0.0
2000-08-01,0,8750,0.0
2000-08-02,0,8170,0.0
2000-08-03,0,10630,0.0
2000-08-04,0,10900,0.0
2000-08-07,0,24920,0.0
2000-08-08,0,13150,0.0
2000-08-09,0,9870,0.0
2000-08-10,0,11290,0.0
2000-08-11,0,88110,0.0
2000-08-14,0,59150,0.0
2000-08-16,0,32860,0.0
2000-08-17,0,35080,0.0
2000-08-18,0,22130,0.0
2000-08-21,0,21450,0.0
2000-08-22,0,15210,0.0
2000-08-23,0,41120,0.0
2000-08-24,0,27640,0.0
2000-08-25,0,18610,0.0
2000-08-28,0,168910,0.0
2000-08-29,0,71970,0.0
2000-08-30,0,21860,0.0
2000-08-31,0,57760,0.0
2000-09-01,0,103370,0.0
2000-09-04,0,323110,0.0
2000-09-05,0,148270,0.0
2000-09-06,0,315880,0.0
2000-09-07,0,122870,0.0
2000-09-08,0,119640,0.0
2000-09-14,0,81050,0.0
2000-09-15,0,97210,0.0
2000-09-18,0,89760,0.0
2000-09-19,0,74480,0.0
2000-09-20,0,93300,0.0
2000-09-21,0,241060,0.0
2000-09-22,0,181390,0.0
2000-09-25,0,228070,0.0
2000-09-26,0,236880,0.0
2000-09-27,0,117900,0.0
2000-09-28,0,112050,0.0
2000-09-29,0,77890,0.0
2000-10-02,0,67900,0.0
2000-10-04,0,119750,0.0
2000-10-05,0,82600,0.0
2000-10-06,0,59170,0.0
2000-10-09,0,90250,0.0
2000-10-10,0,68430,0.0
2000-10-11,0,64680,0.0
2000-10-12,0,162000,0.0
2000-10-13,0,377450,0.0
2000-10-16,0,1153450,0.0
2000-10-17,0,764280,0.0
2000-10-18,0,329990,0.0
2000-10-19,0,377780,0.0
2000-10-20,0,238720,0.0
2000-10-23,0,278930,0.0
2000-10-24,0,191860,0.0
2000-10-25,0,258540,0.0
2000-10-26,0,167830,0.0
2000-10-27,0,140170,0.0
2000-10-30,0,113680,0.0
2000-10-31,0,126330,0.0
2000-11-01,0,117340,0.0
2000-11-02,0,114620,0.0
2000-11-03,0,105960,0.0
2000-11-06,0,71830,0.0
2000-11-07,0,71030,0.0
2000-11-08,0,571180,0.0
2000-11-09,0,150860,0.0
2000-11-10,0,94860,0.0
2000-11-13,0,65900,0.0
2000-11-14,0,66780,0.0
2000-11-15,0,78400,0.0
2000-11-16,0,186430,0.0
2000-11-17,0,138370,0.0
2000-11-20,0,90700,0.0
2000-11-21,0,110670,0.0
2000-11-22,0,234340,0.0
2000-11-23,0,138800,0.0
2000-11-24,0,85890,0.0
2000-11-27,0,71310,0.0
2000-11-28,0,62360,0.0
2000-11-29,0,59930,0.0
2000-11-30,0,56000,0.0
2000-12-01,0,56010,0.0
2000-12-04,0,40100,0.0
2000-12-05,0,42740,0.0
2000-12-06,0,40420,0.0
2000-12-07,0,28130,0.0
2000-12-08,0,28170,0.0
2000-12-11,0,62420,0.0
2000-12-12,0,26300,0.0
2000-12-13,0,45400,0.0
2000-12-14,0,134140,0.0
2000-12-15,0,48670,0.0
2000-12-18,0,80290,0.0
2000-12-19,0,103660,0.0
2000-12-20,0,48410,0.0
2000-12-21,0,45480,0.0
2000-12-22,0,45760,0.0
2000-12-26,0,34300,0.0
2001-01-02,0,19660,0.0
2001-01-03,0,23850,0.0
2001-01-04,0,53550,0.0
2001-01-05,0,43150,0.0
2001-01-08,0,30560,0.0
2001-01-09,0,55730,0.0
2001-01-10,0,55520,0.0
2001-01-11,0,35050,0.0
2001-01-12,0,66910,0.0
2001-01-15,0,128560,0.0
2001-01-16,0,126030,0.0
2001-01-17,0,58930,0.0
2001-01-18,0,52020,0.0
2001-01-19,0,40090,0.0
2001-01-22,0,67350,0.0
2001-01-26,0,39250,0.0
2001-01-29,0,69330,0.0
2001-01-30,0,43110,0.0
2001-01-31,0,39920,0.0
2001-02-01,0,43520,0.0
2001-02-02,0,20860,0.0
2001-02-05,0,64360,0.0
2001-02-06,0,34600,0.0
2001-02-07,0,43770,0.0
2001-02-08,0,23390,0.0
2001-02-09,0,45180,0.0
2001-02-12,0,28720,0.0
2001-02-13,0,34270,0.0
2001-02-14,0,45190,0.0
2001-02-15,0,37080,0.0
2001-02-16,0,26900,0.0
2001-02-19,0,44900,0.0
2001-02-20,0,169270,0.0
2001-02-21,0,62140,0.0
2001-02-22,0,36230,0.0
2001-02-23,0,82660,0.0
2001-02-26,0,105060,0.0
2001-02-27,0,63430,0.0
2001-02-28,0,40800,0.0
2001-03-02,0,39790,0.0
2001-03-05,0,26660,0.0
2001-03-06,0,59200,0.0
2001-03-07,0,69510,0.0
2001-03-08,0,46640,0.0
2001-03-09,0,214420,0.0
2001-03-12,0,85750,0.0
2001-03-13,0,59700,0.0
2001-03-14,0,51800,0.0
2001-03-15,0,40000,0.0
2001-03-16,0,28570,0.0
2001-03-19,0,58760,0.0
2001-03-20,0,23120,0.0
2001-03-21,0,20690,0.0
2001-03-22,0,31970,0.0
2001-03-23,0,18460,0.0
2001-03-26,0,17180,0.0
2001-03-27,0,20410,0.0
2001-03-28,0,27850,0.0
2001-03-29,0,30060,0.0
2001-03-30,0,27810,0.0
2001-04-02,0,22690,0.0
2001-04-03,0,20280,0.0
2001-04-04,0,36840,0.0
2001-04-06,0,31860,0.0
2001-04-09,0,6390,0.0
2001-04-10,0,14830,0.0
2001-04-11,0,5740,0.0
2001-04-12,0,7220,0.0
2001-04-13,0,6640,0.0
2001-04-16,0,6010,0.0
2001-04-17,0,6450,0.0
2001-04-18,0,34870,0.0
2001-04-19,0,52510,0.0
2001-04-20,0,20240,0.0
2001-04-23,0,15350,0.0
2001-04-24,0,11940,0.0
2001-04-25,0,10850,0.0
2001-04-26,0,25280,0.0
2001-04-27,0,16190,0.0
2001-04-30,0,20290,0.0
2001-05-02,0,27360,0.0
2001-05-03,0,18510,0.0
2001-05-04,0,20970,0.0
2001-05-07,0,25240,0.0
2001-05-08,0,91710,0.0
2001-05-09,0,21420,0.0
2001-05-10,0,17680,0.0
2001-05-11,0,79910,0.0
2001-05-14,0,115080,0.0
2001-05-15,0,53170,0.0
2001-05-16,0,77330,0.0
2001-05-17,0,73270,0.0
2001-05-18,0,44270,0.0
2001-05-21,0,48860,0.0
2001-05-22,0,38740,0.0
2001-05-23,0,32540,0.0
2001-05-24,0,22990,0.0
