날짜,공매도,매수,비중
2000-01-04,0,1483967,0.0
2000-01-05,0,1493604,0.0
2000-01-06,0,1087810,0.0
2000-01-07,0,806195,0.0
2000-01-10,0,937615,0.0
2000-01-11,0,1194974,0.0
2000-01-12,0,584492,0.0
2000-01-13,0,823830,0.0
2000-01-14,0,987576,0.0
2000-01-17,0,1270138,0.0
2000-01-18,0,905231,0.0
2000-01-19,0,804159,0.0
2000-01-20,0,746360,0.0
2000-01-21,0,650728,0.0
2000-01-24,0,687183,0.0
2000-01-25,0,885067,0.0
2000-01-26,0,585734,0.0
2000-01-27,0,558083,0.0
2000-01-28,0,766398,0.0
2000-01-31,0,792689,0.0
2000-02-01,0,1429402,0.0
2000-02-02,0,1282143,0.0
2000-02-03,0,2855355,0.0
2000-02-07,0,1282835,0.0
2000-02-08,0,1169244,0.0
2000-02-09,0,1021023,0.0
2000-02-10,0,1236979,0.0
2000-02-11,0,693257,0.0
2000-02-14,0,882889,0.0
2000-02-15,0,766393,0.0
2000-02-16,0,1462389,0.0
2000-02-17,0,1303738,0.0
2000-02-18,0,2175083,0.0
2000-02-21,0,529722,0.0
2000-02-22,0,483669,0.0
2000-02-23,0,554497,0.0
2000-02-24,0,521526,0.0
2000-02-25,0,557527,0.0
2000-02-28,0,602864,0.0
2000-02-29,0,1036420,0.0
2000-03-02,0,2355092,0.0
2000-03-03,0,2819891,0.0
2000-03-06,0,783020,0.0
2000-03-07,0,601414,0.0
2000-03-08,0,649288,0.0
2000-03-09,0,1117890,0.0
2000-03-10,0,572199,0.0
2000-03-13,0,644358,0.0
2000-03-14,0,601241,0.0
2000-03-15,0,922141,0.0
2000-03-16,0,575981,0.0
2000-03-17,0,481685,0.0
2000-03-20,0,527321,0.0
2000-03-21,0,898587,0.0
2000-03-22,0,1739537,0.0
2000-03-23,0,1299012,0.0
2000-03-24,0,1805280,0.0
2000-03-27,0,1354691,0.0
2000-03-28,0,1488500,0.0
2000-03-29,0,1561874,0.0
2000-03-30,0,1492996,0.0
2000-03-31,0,1277121,0.0
2000-04-03,0,1136142,0.0
2000-04-04,0,1166838,0.0
2000-04-06,0,944729,0.0
2000-04-07,0,847198,0.0
2000-04-10,0,717709,0.0
2000-04-11,0,581565,0.0
2000-04-12,0,705096,0.0
2000-04-14,0,1247397,0.0
2000-04-17,0,1561048,0.0
2000-04-18,0,1474625,0.0
2000-04-19,0,1212342,0.0
2000-04-20,0,746719,0.0
2000-04-21,0,528513,0.0
2000-04-24,0,556613,0.0
2000-04-25,0,698014,0.0
2000-04-26,0,785860,0.0
2000-04-27,0,1082253,0.0
2000-04-28,0,1510624,0.0
2000-05-02,0,1446713,0.0
2000-05-03,0,531786,0.0
2000-05-04,0,522021,0.0
2000-05-08,0,1053944,0.0
2000-05-09,0,1010990,0.0
2000-05-10,0,552476,0.0
2000-05-12,0,943445,0.0
2000-05-15,0,942417,0.0
2000-05-16,0,792495,0.0
2000-05-17,0,1524758,0.0
2000-05-18,0,731638,0.0
2000-05-19,0,829049,0.0
2000-05-22,0,727774,0.0
2000-05-23,0,825886,0.0
2000-05-24,0,1443050,0.0
2000-05-25,0,1719303,0.0
2000-05-26,0,1342077,0.0
2000-05-29,0,1342608,0.0
2000-05-30,0,1299038,0.0
2000-05-31,0,1678705,0.0
2000-06-01,0,1004689,0.0
2000-06-02,0,1687778,0.0
2000-06-05,0,960247,0.0
2000-06-07,0,1067336,0.0
2000-06-08,0,1171017,0.0
2000-06-09,0,1277296,0.0
2000-06-12,0,990305,0.0
2000-06-13,0,849970,0.0
2000-06-14,0,1260474,0.0
2000-06-15,0,1224547,0.0
2000-06-16,0,1329127,0.0
2000-06-19,0,1071256,0.0
2000-06-20,0,1195878,0.0
2000-06-21,0,751795,0.0
2000-06-22,0,672733,0.0
2000-06-23,0,584323,0.0
2000-06-26,0,799690,0.0
2000-06-27,0,910783,0.0
2000-06-28,0,945903,0.0
2000-06-29,0,1222497,0.0
2000-06-30,0,705080,0.0
2000-07-03,0,519515,0.0
2000-07-04,0,656229,0.0
2000-07-05,0,497988,0.0
2000-07-06,0,1206852,0.0
2000-07-07,0,811625,0.0
