날짜,공매도,매수,비중
2000-01-04,0,827220,0.0
2000-01-05,0,515508,0.0
2000-01-06,0,445542,0.0
2000-01-07,0,508348,0.0
2000-01-10,0,502660,0.0
2000-01-11,0,842060,0.0
2000-01-12,0,351180,0.0
2000-01-13,0,319210,0.0
2000-01-14,0,272570,0.0
2000-01-17,0,445400,0.0
2000-01-18,0,423540,0.0
2000-01-19,0,388880,0.0
2000-01-20,0,355470,0.0
2000-01-21,0,671990,0.0
2000-01-24,0,323560,0.0
2000-01-25,0,251760,0.0
2000-01-26,0,197330,0.0
2000-01-27,0,315230,0.0
2000-01-28,0,373100,0.0
2000-01-31,0,166690,0.0
2000-02-01,0,388450,0.0
2000-02-02,0,398330,0.0
2000-02-03,0,247530,0.0
2000-02-07,0,478060,0.0
2000-02-08,0,251240,0.0
2000-02-09,0,291070,0.0
2000-02-10,0,1397080,0.0
2000-02-11,0,1027890,0.0
2000-02-14,0,560800,0.0
2000-02-15,0,298350,0.0
2000-02-16,0,283910,0.0
2000-02-17,0,302330,0.0
2000-02-18,0,454940,0.0
2000-02-21,0,231080,0.0
2000-02-22,0,392780,0.0
2000-02-23,0,456510,0.0
2000-02-24,0,340080,0.0
2000-02-25,0,448830,0.0
2000-02-28,0,1223640,0.0
2000-02-29,0,1745170,0.0
2000-03-02,0,967220,0.0
2000-03-03,0,1178110,0.0
2000-03-06,0,777110,0.0
2000-03-07,0,448820,0.0
2000-03-08,0,511820,0.0
2000-03-09,0,929170,0.0
2000-03-10,0,419000,0.0
2000-03-13,0,1075350,0.0
2000-03-14,0,346330,0.0
2000-03-15,0,420470,0.0
2000-03-16,0,382840,0.0
2000-03-17,0,484500,0.0
2000-03-20,0,264810,0.0
2000-03-21,0,249420,0.0
2000-03-22,0,521680,0.0
2000-03-23,0,329720,0.0
2000-03-24,0,214880,0.0
2000-03-27,0,242190,0.0
2000-03-28,0,412930,0.0
2000-03-29,0,286520,0.0
2000-03-30,0,168470,0.0
2000-03-31,0,608140,0.0
2000-04-03,0,427080,0.0
2000-04-04,0,278270,0.0
2000-04-06,0,100640,0.0
2000-04-07,0,168500,0.0
2000-04-10,0,356640,0.0
2000-04-11,0,217480,0.0
2000-04-12,0,195740,0.0
2000-04-14,0,115030,0.0
2000-04-17,0,383190,0.0
2000-04-18,0,532990,0.0
2000-04-19,0,257880,0.0
2000-04-20,0,190660,0.0
2000-04-21,0,245880,0.0
2000-04-24,0,168490,0.0
2000-04-25,0,213790,0.0
2000-04-26,0,566480,0.0
2000-04-27,0,462770,0.0
2000-04-28,0,161100,0.0
2000-05-02,0,230320,0.0
2000-05-03,0,168630,0.0
2000-05-04,0,234140,0.0
2000-05-08,0,324350,0.0
2000-05-09,0,135380,0.0
2000-05-10,0,91620,0.0
2000-05-12,0,77050,0.0
2000-05-15,0,180110,0.0
2000-05-16,0,178720,0.0
2000-05-17,0,154920,0.0
2000-05-18,0,212740,0.0
2000-05-19,0,82580,0.0
2000-05-22,0,191960,0.0
2000-05-23,0,162520,0.0
2000-05-24,0,294340,0.0
2000-05-25,0,371570,0.0
2000-05-26,0,398620,0.0
2000-05-29,0,130490,0.0
2000-05-30,0,233410,0.0
2000-05-31,0,719970,0.0
2000-06-01,0,424940,0.0
2000-06-02,0,570910,0.0
2000-06-05,0,485080,0.0
2000-06-07,0,1048670,0.0
2000-06-08,0,426010,0.0
2000-06-09,0,567130,0.0
2000-06-12,0,875350,0.0
2000-06-13,0,876260,0.0
