날짜,공매도,매수,비중
2000-01-04,0,35998,0.0
2000-01-05,0,57248,0.0
2000-01-06,0,41834,0.0
2000-01-07,0,34272,0.0
2000-01-10,0,27025,0.0
2000-01-11,0,25838,0.0
2000-01-12,0,20501,0.0
2000-01-13,0,28517,0.0
2000-01-14,0,22135,0.0
2000-01-17,0,22401,0.0
2000-01-18,0,22406,0.0
2000-01-19,0,27824,0.0
2000-01-20,0,31429,0.0
2000-01-21,0,28024,0.0
2000-01-24,0,32085,0.0
2000-01-25,0,19449,0.0
2000-01-26,0,23555,0.0
2000-01-27,0,17172,0.0
2000-01-28,0,21851,0.0
2000-01-31,0,18577,0.0
2000-02-01,0,18848,0.0
2000-02-02,0,14242,0.0
2000-02-03,0,12352,0.0
2000-02-07,0,27339,0.0
2000-02-08,0,14682,0.0
2000-02-09,0,36119,0.0
2000-02-10,0,51862,0.0
2000-02-11,0,39435,0.0
2000-02-14,0,22089,0.0
2000-02-15,0,25517,0.0
2000-02-16,0,26789,0.0
2000-02-17,0,17111,0.0
2000-02-18,0,18296,0.0
2000-02-21,0,23667,0.0
2000-02-22,0,14595,0.0
2000-02-23,0,30429,0.0
2000-02-24,0,16759,0.0
2000-02-25,0,22016,0.0
2000-02-28,0,25185,0.0
2000-02-29,0,28099,0.0
2000-03-02,0,33666,0.0
2000-03-03,0,20622,0.0
2000-03-06,0,16762,0.0
2000-03-07,0,16515,0.0
2000-03-08,0,10638,0.0
2000-03-09,0,37712,0.0
2000-03-10,0,21054,0.0
2000-03-13,0,17976,0.0
2000-03-14,0,13094,0.0
2000-03-15,0,25571,0.0
2000-03-16,0,21821,0.0
2000-03-17,0,24788,0.0
2000-03-20,0,17507,0.0
2000-03-21,0,20532,0.0
2000-03-22,0,17069,0.0
2000-03-23,0,11622,0.0
2000-03-24,0,11418,0.0
2000-03-27,0,14886,0.0
2000-03-28,0,17435,0.0
2000-03-29,0,29490,0.0
2000-03-30,0,17973,0.0
2000-03-31,0,18604,0.0
2000-04-03,0,20872,0.0
2000-04-04,0,39933,0.0
2000-04-06,0,23755,0.0
2000-04-07,0,19692,0.0
2000-04-10,0,28953,0.0
2000-04-11,0,18905,0.0
2000-04-12,0,26277,0.0
2000-04-14,0,32217,0.0
2000-04-17,0,56667,0.0
2000-04-18,0,60613,0.0
2000-04-19,0,65964,0.0
2000-04-20,0,0,0.0
2000-04-21,0,0,0.0
2000-04-24,0,389062,0.0
2000-04-25,0,196260,0.0
2000-04-26,0,279975,0.0
2000-04-27,0,355001,0.0
2000-04-28,0,360404,0.0
2000-05-02,0,677661,0.0
2000-05-03,0,602378,0.0
2000-05-04,0,267938,0.0
2000-05-08,0,341966,0.0
2000-05-09,0,211640,0.0
2000-05-10,0,207241,0.0
2000-05-12,0,222156,0.0
2000-05-15,0,171541,0.0
2000-05-16,0,237993,0.0
2000-05-17,0,252221,0.0
2000-05-18,0,330939,0.0
2000-05-19,0,696171,0.0
2000-05-22,0,452070,0.0
2000-05-23,0,402637,0.0
2000-05-24,0,293071,0.0
2000-05-25,0,466144,0.0
2000-05-26,0,285070,0.0
