날짜,공매도,매수,비중
2000-09-21,0,3,0.0
2000-09-22,0,1,0.0
2000-09-25,0,201,0.0
2000-09-26,0,1,0.0
2000-09-27,0,1,0.0
2000-09-28,0,506,0.0
2000-09-29,0,3,0.0
2000-10-02,0,1000,0.0
2000-10-04,0,1,0.0
2000-10-05,0,2068680,0.0
2000-10-06,0,4835441,0.0
2000-10-09,0,1951658,0.0
2000-10-10,0,1495473,0.0
2000-10-11,0,1937481,0.0
2000-10-12,0,2055790,0.0
2000-10-13,0,1380948,0.0
2000-10-16,0,1726293,0.0
2000-10-17,0,908891,0.0
2000-10-18,0,2180523,0.0
2000-10-19,0,1619853,0.0
2000-10-20,0,1630489,0.0
2000-10-23,0,1465497,0.0
2000-10-24,0,2431606,0.0
2000-10-25,0,1237405,0.0
2000-10-26,0,2067805,0.0
2000-10-27,0,1940395,0.0
2000-10-30,0,1462566,0.0
2000-10-31,0,3305160,0.0
2000-11-01,0,3344065,0.0
2000-11-02,0,3307439,0.0
2000-11-03,0,1621762,0.0
2000-11-06,0,1876401,0.0
2000-11-07,0,1106406,0.0
2000-11-08,0,1087289,0.0
2000-11-09,0,668084,0.0
2000-11-10,0,703344,0.0
2000-11-13,0,723125,0.0
2000-11-14,0,736468,0.0
2000-11-15,0,1052261,0.0
2000-11-16,0,568817,0.0
2000-11-17,0,1043687,0.0
2000-11-20,0,665348,0.0
2000-11-21,0,790597,0.0
2000-11-22,0,693695,0.0
2000-11-23,0,784476,0.0
2000-11-24,0,879020,0.0
2000-11-27,0,877392,0.0
2000-11-28,0,638576,0.0
2000-11-29,0,564814,0.0
2000-11-30,0,569921,0.0
2000-12-01,0,496101,0.0
2000-12-04,0,415375,0.0
2000-12-05,0,318352,0.0
2000-12-06,0,2639134,0.0
2000-12-07,0,1840352,0.0
2000-12-08,0,873153,0.0
2000-12-11,0,1949311,0.0
2000-12-12,0,3256800,0.0
2000-12-13,0,1360223,0.0
2000-12-14,0,1478703,0.0
2000-12-15,0,2407905,0.0
2000-12-18,0,84629,0.0
2000-12-19,0,7794281,0.0
2000-12-20,0,5221205,0.0
2000-12-21,0,6857895,0.0
2000-12-22,0,4390762,0.0
2000-12-26,0,4019285,0.0
2001-01-02,0,3207266,0.0
2001-01-03,0,3426438,0.0
2001-01-04,0,2972337,0.0
2001-01-05,0,4471019,0.0
2001-01-08,0,1534896,0.0
2001-01-09,0,6136067,0.0
2001-01-10,0,6659289,0.0
2001-01-11,0,3730620,0.0
2001-01-12,0,4393208,0.0
2001-01-15,0,2615811,0.0
2001-01-16,0,5667237,0.0
2001-01-17,0,3742548,0.0
2001-01-18,0,3610558,0.0
2001-01-19,0,3905300,0.0
2001-01-22,0,3272909,0.0
2001-01-26,0,5838174,0.0
2001-01-29,0,3113427,0.0
2001-01-30,0,5239078,0.0
2001-01-31,0,3118897,0.0
2001-02-01,0,1671498,0.0
2001-02-02,0,1976643,0.0
2001-02-05,0,1536399,0.0
2001-02-06,0,1088525,0.0
2001-02-07,0,1136114,0.0
2001-02-08,0,1593572,0.0
2001-02-09,0,747846,0.0
2001-02-12,0,2244084,0.0
2001-02-13,0,1372054,0.0
2001-02-14,0,2480064,0.0
2001-02-15,0,3511322,0.0
2001-02-16,0,1870943,0.0
2001-02-19,0,838793,0.0
2001-02-20,0,1759703,0.0
2001-02-21,0,1492097,0.0
2001-02-22,0,1389850,0.0
2001-02-23,0,1343901,0.0
2001-02-26,0,1861959,0.0
2001-02-27,0,1469134,0.0
2001-02-28,0,1574105,0.0
2001-03-02,0,1334148,0.0
2001-03-05,0,1861738,0.0
2001-03-06,0,1168299,0.0
2001-03-07,0,808432,0.0
2001-03-08,0,1021664,0.0
2001-03-09,0,1320010,0.0
2001-03-12,0,1260337,0.0
2001-03-13,0,1065180,0.0
2001-03-14,0,778553,0.0
2001-03-15,0,569761,0.0
2001-03-16,0,485760,0.0
2001-03-19,0,400539,0.0
2001-03-20,0,331969,0.0
2001-03-21,0,621873,0.0
2001-03-22,0,783876,0.0
2001-03-23,0,370951,0.0
2001-03-26,0,900198,0.0
2001-03-27,0,140212,0.0
2001-03-28,0,5109802,0.0
2001-03-29,0,1534102,0.0
2001-03-30,0,1367422,0.0
2001-04-02,0,1765832,0.0
2001-04-03,0,797637,0.0
2001-04-04,0,3861536,0.0
2001-04-06,0,2527773,0.0
2001-04-09,0,908096,0.0
2001-04-10,0,1317794,0.0
2001-04-11,0,1506578,0.0
2001-04-12,0,2564737,0.0
2001-04-13,0,3610033,0.0
2001-04-16,0,1765901,0.0
2001-04-17,0,1439447,0.0
2001-04-18,0,3085854,0.0
2001-04-19,0,3259137,0.0
2001-04-20,0,1667428,0.0
2001-04-23,0,2490674,0.0
2001-04-24,0,1204733,0.0
2001-04-25,0,2895803,0.0
2001-04-26,0,1658579,0.0
2001-04-27,0,1301870,0.0
2001-04-30,0,2553887,0.0
2001-05-02,0,3181068,0.0
2001-05-03,0,1331129,0.0
2001-05-04,0,1199411,0.0
2001-05-07,0,1194720,0.0
2001-05-08,0,5273547,0.0
2001-05-09,0,2163812,0.0
2001-05-10,0,3702978,0.0
2001-05-11,0,8689953,0.0
2001-05-14,0,1990278,0.0
2001-05-15,0,5951388,0.0
2001-05-16,0,3408814,0.0
2001-05-17,0,2308965,0.0
2001-05-18,0,2989704,0.0
2001-05-21,0,2026089,0.0
2001-05-22,0,1263708,0.0
2001-05-23,0,904116,0.0
2001-05-24,0,1798103,0.0
2001-05-25,0,1494053,0.0
2001-05-28,0,3915089,0.0
2001-05-29,0,1861742,0.0
2001-05-30,0,1185419,0.0
2001-05-31,0,1065618,0.0
2001-06-01,0,795392,0.0
2001-06-04,0,624637,0.0
2001-06-05,0,1644069,0.0
2001-06-07,0,943659,0.0
2001-06-08,0,1087475,0.0
2001-06-11,0,835428,0.0
2001-06-12,0,527336,0.0
