날짜,공매도,매수,비중
2002-04-22,0,8151792,0.0
2002-04-23,0,5384435,0.0
2002-04-24,0,4659371,0.0
2002-04-25,0,3913730,0.0
2002-04-26,0,4176615,0.0
2002-04-29,0,1990302,0.0
2002-04-30,0,1979486,0.0
2002-05-02,0,2250330,0.0
2002-05-03,0,2251005,0.0
2002-05-06,0,1882065,0.0
2002-05-07,0,1618200,0.0
2002-05-08,0,1969186,0.0
2002-05-09,0,2137841,0.0
2002-05-10,0,2103410,0.0
2002-05-13,0,1860162,0.0
2002-05-14,0,4260772,0.0
2002-05-15,0,3620990,0.0
2002-05-16,24000,1828203,1.31
2002-05-17,0,1930347,0.0
2002-05-20,0,1574443,0.0
2002-05-21,0,1096791,0.0
2002-05-22,0,1286486,0.0
2002-05-23,0,884834,0.0
2002-05-24,0,962529,0.0
2002-05-27,0,561114,0.0
2002-05-28,0,768517,0.0
2002-05-29,0,879003,0.0
2002-05-30,0,1573716,0.0
2002-05-31,35000,1374163,2.55
2002-06-03,0,1337000,0.0
2002-06-04,0,992645,0.0
2002-06-05,0,1406400,0.0
2002-06-07,0,1256349,0.0
2002-06-10,0,937283,0.0
2002-06-11,0,866321,0.0
2002-06-12,0,1179199,0.0
2002-06-14,0,1135273,0.0
2002-06-17,0,669410,0.0
2002-06-18,0,661952,0.0
2002-06-19,0,1049747,0.0
2002-06-20,0,678610,0.0
2002-06-21,0,609115,0.0
2002-06-24,0,755785,0.0
2002-06-25,0,959852,0.0
2002-06-26,0,1487344,0.0
2002-06-27,0,1079356,0.0
2002-06-28,0,1019887,0.0
2002-07-02,0,1093565,0.0
2002-07-03,0,898280,0.0
2002-07-04,0,2355642,0.0
2002-07-05,0,1702750,0.0
2002-07-08,0,1503084,0.0
2002-07-09,0,916712,0.0
2002-07-10,0,1423410,0.0
2002-07-11,0,1719396,0.0
2002-07-12,0,1574803,0.0
2002-07-15,75000,1594802,4.7
2002-07-16,0,1160549,0.0
2002-07-18,0,1028315,0.0
2002-07-19,0,1279448,0.0
2002-07-22,0,1406494,0.0
2002-07-23,0,1486851,0.0
2002-07-24,0,2075429,0.0
2002-07-25,0,1598449,0.0
2002-07-26,0,1167565,0.0
2002-07-29,62460,971983,6.43
2002-07-30,92540,1557812,5.94
2002-07-31,21000,695590,3.02
2002-08-01,540,526186,0.1
2002-08-02,0,723076,0.0
2002-08-05,0,923465,0.0
2002-08-06,21570,2403205,0.9
2002-08-07,0,1483050,0.0
2002-08-08,0,1202966,0.0
2002-08-09,50800,1231039,4.13
2002-08-12,6000,1149533,0.52
2002-08-13,0,1263843,0.0
2002-08-14,0,1346726,0.0
2002-08-16,0,1290598,0.0
2002-08-19,0,957346,0.0
2002-08-20,0,1235192,0.0
2002-08-21,0,854454,0.0
2002-08-22,0,1225144,0.0
2002-08-23,0,746478,0.0
2002-08-26,0,557984,0.0
2002-08-27,0,552013,0.0
2002-08-28,0,483232,0.0
2002-08-29,0,656280,0.0
2002-08-30,0,1038846,0.0
2002-09-02,0,950326,0.0
2002-09-03,0,638205,0.0
2002-09-04,0,700802,0.0
2002-09-05,0,401928,0.0
2002-09-06,0,499623,0.0
2002-09-09,0,540424,0.0
2002-09-10,0,440780,0.0
2002-09-11,0,1062592,0.0
2002-09-12,400,923453,0.04
2002-09-13,0,637549,0.0
2002-09-16,0,612447,0.0
2002-09-17,0,1122859,0.0
2002-09-18,0,873919,0.0
2002-09-19,600,847213,0.07
2002-09-23,0,783269,0.0
2002-09-24,0,828612,0.0
2002-09-25,0,1720404,0.0
2002-09-26,0,2457487,0.0
2002-09-27,9000,1858123,0.48
2002-09-30,90000,2088284,4.31
2002-10-01,0,2468069,0.0
2002-10-02,0,1740229,0.0
2002-10-04,31710,1309281,2.42
2002-10-07,0,1017947,0.0
2002-10-08,0,1621130,0.0
2002-10-09,0,1289740,0.0
2002-10-10,9000,1841151,0.49
2002-10-11,0,1683930,0.0
2002-10-14,0,1412656,0.0
2002-10-15,0,2084278,0.0
2002-10-16,0,2132740,0.0
2002-10-17,4070,2748603,0.15
2002-10-18,0,3042537,0.0
2002-10-21,0,1909319,0.0
2002-10-22,0,1798798,0.0
2002-10-23,0,1780991,0.0
2002-10-24,0,1606614,0.0
2002-10-25,0,941250,0.0
2002-10-28,0,1993431,0.0
2002-10-29,0,905590,0.0
2002-10-30,0,1122720,0.0
2002-10-31,0,812985,0.0
2002-11-01,0,802218,0.0
2002-11-04,0,1500678,0.0
2002-11-05,0,1832630,0.0
2002-11-06,0,1610790,0.0
2002-11-07,0,1859084,0.0
2002-11-08,0,1662229,0.0
2002-11-11,520,1057277,0.05
2002-11-12,0,1042978,0.0
2002-11-13,0,882291,0.0
2002-11-14,0,878020,0.0
2002-11-15,0,1273818,0.0
2002-11-18,0,794514,0.0
2002-11-19,0,1053574,0.0
2002-11-20,0,1211971,0.0
2002-11-21,0,2607034,0.0
2002-11-22,0,2464247,0.0
2002-11-25,0,1725034,0.0
2002-11-26,0,1978490,0.0
2002-11-27,0,1395927,0.0
2002-11-28,0,2341087,0.0
2002-11-29,0,1286371,0.0
2002-12-02,49450,967961,5.11
2002-12-03,0,1333276,0.0
2002-12-04,0,1213149,0.0
