날짜,공매도,매수,비중
2000-01-04,0,964040,0.0
2000-01-05,0,806970,0.0
2000-01-06,0,430340,0.0
2000-01-07,0,476380,0.0
2000-01-10,0,596300,0.0
2000-01-11,0,370870,0.0
2000-01-12,0,333710,0.0
2000-01-13,0,506340,0.0
2000-01-14,0,177190,0.0
2000-01-17,0,219380,0.0
2000-01-18,0,351940,0.0
2000-01-19,0,284320,0.0
2000-01-20,0,586520,0.0
2000-01-21,0,488620,0.0
2000-01-24,0,658050,0.0
2000-01-25,0,563250,0.0
2000-01-26,0,629370,0.0
2000-01-27,0,1062020,0.0
2000-01-28,0,1016490,0.0
2000-01-31,0,1204420,0.0
2000-02-01,0,768130,0.0
2000-02-02,0,692500,0.0
2000-02-03,0,373100,0.0
2000-02-07,0,729190,0.0
2000-02-08,0,417790,0.0
2000-02-09,0,424760,0.0
2000-02-10,0,553670,0.0
2000-02-11,0,742180,0.0
2000-02-14,0,928260,0.0
2000-02-15,0,557120,0.0
2000-02-16,0,525610,0.0
2000-02-17,0,349030,0.0
2000-02-18,0,445340,0.0
2000-02-21,0,370630,0.0
2000-02-22,0,528440,0.0
2000-02-23,0,1450940,0.0
2000-02-24,0,489100,0.0
2000-02-25,0,481320,0.0
2000-02-28,0,675580,0.0
2000-02-29,0,411880,0.0
2000-03-02,0,523340,0.0
2000-03-03,0,620970,0.0
2000-03-06,0,827260,0.0
2000-03-07,0,831260,0.0
2000-03-08,0,797340,0.0
2000-03-09,0,1723280,0.0
2000-03-10,0,750380,0.0
2000-03-13,0,525730,0.0
2000-03-14,0,399890,0.0
2000-03-15,0,279720,0.0
2000-03-16,0,214390,0.0
2000-03-17,0,795280,0.0
2000-03-20,0,485200,0.0
2000-03-21,0,630360,0.0
2000-03-22,0,391930,0.0
2000-03-23,0,369810,0.0
2000-03-24,0,286430,0.0
2000-03-27,0,491800,0.0
2000-03-28,0,326480,0.0
2000-03-29,0,411710,0.0
2000-03-30,0,342920,0.0
2000-03-31,0,336920,0.0
2000-04-03,0,1405430,0.0
2000-04-04,0,554420,0.0
2000-04-06,0,402370,0.0
2000-04-07,0,649010,0.0
2000-04-10,0,1686530,0.0
2000-04-11,0,1662080,0.0
2000-04-12,0,826890,0.0
2000-04-14,0,583360,0.0
2000-04-17,0,1020910,0.0
2000-04-18,0,515510,0.0
2000-04-19,0,389310,0.0
2000-04-20,0,1029510,0.0
2000-04-21,0,1551960,0.0
2000-04-24,0,688700,0.0
2000-04-25,0,588420,0.0
2000-04-26,0,547470,0.0
2000-04-27,0,339080,0.0
2000-04-28,0,400410,0.0
2000-05-02,0,405580,0.0
2000-05-03,0,558490,0.0
2000-05-04,0,251200,0.0
2000-05-08,0,637700,0.0
2000-05-09,0,565280,0.0
2000-05-10,0,669390,0.0
2000-05-12,0,269540,0.0
2000-05-15,0,252400,0.0
2000-05-16,0,145090,0.0
2000-05-17,0,203720,0.0
2000-05-18,0,278640,0.0
2000-05-19,0,278530,0.0
2000-05-22,0,317320,0.0
2000-05-23,0,309690,0.0
2000-05-24,0,1016600,0.0
2000-05-25,0,1495850,0.0
2000-05-26,0,829480,0.0
2000-05-29,0,561880,0.0
2000-05-30,0,614840,0.0
2000-05-31,0,1020130,0.0
2000-06-01,0,445150,0.0
2000-06-02,0,1678490,0.0
2000-06-05,0,1738190,0.0
2000-06-07,0,418810,0.0
2000-06-08,0,8218160,0.0
2000-06-09,0,4559170,0.0
2000-06-12,0,2505490,0.0
2000-06-13,0,1994660,0.0
2000-06-14,0,3314120,0.0
2000-06-15,0,1931510,0.0
2000-06-16,0,1274890,0.0
2000-06-19,0,820080,0.0
2000-06-20,0,960970,0.0
2000-06-21,0,1586620,0.0
2000-06-22,0,565520,0.0
2000-06-23,0,700810,0.0
2000-06-26,0,580110,0.0
2000-06-27,0,858560,0.0
2000-06-28,0,1495740,0.0
2000-06-29,0,747050,0.0
2000-06-30,0,640740,0.0
2000-07-03,0,463610,0.0
2000-07-04,0,660600,0.0
2000-07-05,0,576710,0.0
2000-07-06,0,1700200,0.0
2000-07-07,0,5965710,0.0
2000-07-10,0,3600290,0.0
2000-07-11,0,4942280,0.0
2000-07-12,0,1395270,0.0
2000-07-13,0,847780,0.0
2000-07-14,0,1283830,0.0
2000-07-18,0,618660,0.0
2000-07-19,0,694740,0.0
2000-07-20,0,653190,0.0
2000-07-21,0,545640,0.0
2000-07-24,0,373830,0.0
2000-07-25,0,871390,0.0
2000-07-26,0,396140,0.0
2000-07-27,0,579670,0.0
2000-07-28,0,512400,0.0
2000-07-31,0,478790,0.0
2000-08-01,0,879220,0.0
2000-08-02,0,463360,0.0
2000-08-03,0,329560,0.0
2000-08-04,0,286680,0.0
2000-08-07,0,205710,0.0
2000-08-08,0,248390,0.0
2000-08-09,0,346040,0.0
2000-08-10,0,309680,0.0
2000-08-11,0,430530,0.0
2000-08-14,0,697950,0.0
2000-08-16,0,374380,0.0
2000-08-17,0,478650,0.0
2000-08-18,0,321240,0.0
2000-08-21,0,166150,0.0
2000-08-22,0,318820,0.0
2000-08-23,0,1045700,0.0
2000-08-24,0,372690,0.0
2000-08-25,0,328110,0.0
2000-08-28,0,995460,0.0
2000-08-29,0,931320,0.0
2000-08-30,0,431360,0.0
2000-08-31,0,335570,0.0
2000-09-01,0,199040,0.0
2000-09-04,0,355710,0.0
2000-09-05,0,196150,0.0
2000-09-06,0,283500,0.0
2000-09-07,0,290140,0.0
2000-09-08,0,212860,0.0
2000-09-14,0,268220,0.0
2000-09-15,0,567810,0.0
2000-09-18,0,370130,0.0
2000-09-19,0,215150,0.0
2000-09-20,0,319670,0.0
2000-09-21,0,198510,0.0
2000-09-22,0,349440,0.0
2000-09-25,0,288160,0.0
2000-09-26,0,292390,0.0
2000-09-27,0,172070,0.0
2000-09-28,0,103640,0.0
2000-09-29,0,294430,0.0
2000-10-02,0,202370,0.0
2000-10-04,0,477440,0.0
2000-10-05,0,445550,0.0
2000-10-06,0,972300,0.0
2000-10-09,0,226910,0.0
2000-10-10,0,248550,0.0
2000-10-11,0,2640470,0.0
2000-10-12,0,815690,0.0
2000-10-13,0,699130,0.0
2000-10-16,0,754440,0.0
2000-10-17,0,404670,0.0
2000-10-18,0,710100,0.0
2000-10-19,0,319070,0.0
2000-10-20,0,324600,0.0
2000-10-23,0,226980,0.0
2000-10-24,0,200520,0.0
2000-10-25,0,226720,0.0
2000-10-26,0,204060,0.0
2000-10-27,0,220390,0.0
2000-10-30,0,362080,0.0
2000-10-31,0,1046310,0.0
2000-11-01,0,904990,0.0
2000-11-02,0,2257800,0.0
2000-11-03,0,789370,0.0
2000-11-06,0,554660,0.0
2000-11-07,0,802330,0.0
2000-11-08,0,538760,0.0
2000-11-09,0,560990,0.0
2000-11-10,0,485850,0.0
2000-11-13,0,635760,0.0
2000-11-14,0,1916790,0.0
2000-11-15,0,1914910,0.0
2000-11-16,0,1242970,0.0
2000-11-17,0,1277890,0.0
2000-11-20,0,829550,0.0
2000-11-21,0,1024730,0.0
2000-11-22,0,825900,0.0
2000-11-23,0,902770,0.0
2000-11-24,0,1000600,0.0
2000-11-27,0,822000,0.0
2000-11-28,0,464120,0.0
2000-11-29,0,719320,0.0
2000-11-30,0,561310,0.0
2000-12-01,0,443790,0.0
2000-12-04,0,367890,0.0
2000-12-05,0,324660,0.0
2000-12-06,0,583900,0.0
2000-12-07,0,307830,0.0
2000-12-08,0,1036680,0.0
2000-12-11,0,537160,0.0
2000-12-12,0,278760,0.0
2000-12-13,0,882880,0.0
2000-12-14,0,444490,0.0
2000-12-15,0,614680,0.0
2000-12-18,0,1063160,0.0
2000-12-19,0,1264040,0.0
2000-12-20,0,630710,0.0
2000-12-21,0,696140,0.0
2000-12-22,0,870080,0.0
2000-12-26,0,2280080,0.0
2001-01-02,1600,3670380,0.04
2001-01-03,0,1762220,0.0
2001-01-04,0,3630440,0.0
2001-01-05,0,4639560,0.0
2001-01-08,0,1538660,0.0
2001-01-09,0,840720,0.0
2001-01-10,0,1204660,0.0
2001-01-11,0,694470,0.0
2001-01-12,0,1755160,0.0
2001-01-15,0,1097130,0.0
2001-01-16,0,1174970,0.0
2001-01-17,0,921550,0.0
2001-01-18,0,712300,0.0
2001-01-19,0,1041970,0.0
2001-01-22,0,2623340,0.0
2001-01-26,0,4126350,0.0
2001-01-29,0,4520470,0.0
2001-01-30,0,2788320,0.0
2001-01-31,0,1301260,0.0
2001-02-01,0,981570,0.0
2001-02-02,0,585390,0.0
2001-02-05,0,724430,0.0
2001-02-06,0,347980,0.0
2001-02-07,0,500730,0.0
2001-02-08,0,618410,0.0
2001-02-09,0,647750,0.0
2001-02-12,0,447780,0.0
2001-02-13,0,444420,0.0
2001-02-14,0,1628780,0.0
2001-02-15,10,840190,0.0
2001-02-16,0,833950,0.0
2001-02-19,0,418340,0.0
2001-02-20,0,823960,0.0
2001-02-21,0,462130,0.0
2001-02-22,0,422250,0.0
2001-02-23,0,386590,0.0
2001-02-26,0,260890,0.0
2001-02-27,0,363630,0.0
2001-02-28,0,207150,0.0
2001-03-02,0,222300,0.0
2001-03-05,0,210490,0.0
