날짜,공매도,매수,비중
2000-01-04,0,2344578,0.0
2000-01-05,0,2744903,0.0
2000-01-06,0,2275143,0.0
2000-01-07,0,2404267,0.0
2000-01-10,0,2273425,0.0
2000-01-11,0,1706151,0.0
2000-01-12,0,1211776,0.0
2000-01-13,0,1750059,0.0
2000-01-14,0,1637664,0.0
2000-01-17,0,1065897,0.0
2000-01-18,0,1471080,0.0
2000-01-19,0,1357016,0.0
2000-01-20,0,1170014,0.0
2000-01-21,0,1152706,0.0
2000-01-24,0,1046453,0.0
2000-01-25,0,1266775,0.0
2000-01-26,0,1465314,0.0
2000-01-27,0,1157446,0.0
2000-01-28,0,1619534,0.0
2000-01-31,0,1171169,0.0
2000-02-01,0,938659,0.0
2000-02-02,0,1085204,0.0
2000-02-03,0,1288055,0.0
2000-02-07,0,2553724,0.0
2000-02-08,0,1147885,0.0
2000-02-09,0,1447182,0.0
2000-02-10,0,2480575,0.0
2000-02-11,0,1347964,0.0
2000-02-14,0,1251896,0.0
2000-02-15,0,1338269,0.0
2000-02-16,0,1321731,0.0
2000-02-17,0,1524665,0.0
2000-02-18,0,1653959,0.0
2000-02-21,0,1042887,0.0
2000-02-22,0,1217920,0.0
2000-02-23,0,1272745,0.0
2000-02-24,0,913753,0.0
2000-02-25,0,1651680,0.0
2000-02-28,0,1706622,0.0
2000-02-29,0,1705849,0.0
2000-03-02,0,2053295,0.0
2000-03-03,0,1522631,0.0
2000-03-06,0,1066908,0.0
2000-03-07,0,761078,0.0
2000-03-08,0,811550,0.0
2000-03-09,0,1907621,0.0
2000-03-10,0,931527,0.0
2000-03-13,0,1136960,0.0
2000-03-14,0,835222,0.0
2000-03-15,0,951869,0.0
2000-03-16,0,934115,0.0
2000-03-17,0,1043145,0.0
2000-03-20,0,499669,0.0
2000-03-21,0,884045,0.0
2000-03-22,0,1145258,0.0
2000-03-23,0,1017469,0.0
2000-03-24,0,655195,0.0
2000-03-27,0,622777,0.0
2000-03-28,0,820574,0.0
2000-03-29,0,1036894,0.0
2000-03-30,0,1725376,0.0
2000-03-31,0,1158473,0.0
2000-04-03,0,829750,0.0
2000-04-04,0,863908,0.0
2000-04-06,0,577085,0.0
2000-04-07,0,850432,0.0
2000-04-10,0,1302334,0.0
2000-04-11,0,836652,0.0
2000-04-12,0,791850,0.0
2000-04-14,0,704649,0.0
2000-04-17,0,1383693,0.0
2000-04-18,0,1381263,0.0
2000-04-19,0,1433397,0.0
2000-04-20,0,1254564,0.0
2000-04-21,0,963706,0.0
2000-04-24,0,586208,0.0
2000-04-25,0,654063,0.0
2000-04-26,0,662237,0.0
2000-04-27,0,672984,0.0
2000-04-28,0,903509,0.0
2000-05-02,0,1975549,0.0
2000-05-03,0,895329,0.0
2000-05-04,0,687052,0.0
2000-05-08,0,1185420,0.0
2000-05-09,0,699350,0.0
2000-05-10,0,762450,0.0
2000-05-12,0,626227,0.0
2000-05-15,0,531104,0.0
2000-05-16,0,1106844,0.0
2000-05-17,0,1789465,0.0
2000-05-18,0,868020,0.0
2000-05-19,0,1402950,0.0
2000-05-22,0,840485,0.0
2000-05-23,0,1050555,0.0
2000-05-24,0,1421414,0.0
2000-05-25,0,1405520,0.0
2000-05-26,0,1212256,0.0
2000-05-29,0,1038315,0.0
2000-05-30,0,960970,0.0
2000-05-31,0,1770126,0.0
2000-06-01,0,761081,0.0
2000-06-02,0,1164539,0.0
2000-06-05,0,1657878,0.0
2000-06-07,0,3736788,0.0
2000-06-08,0,5599955,0.0
2000-06-09,0,2345874,0.0
2000-06-12,0,1452750,0.0
2000-06-13,0,1091523,0.0
2000-06-14,0,1698238,0.0
2000-06-15,0,1009969,0.0
2000-06-16,0,758888,0.0
2000-06-19,0,1200788,0.0
2000-06-20,0,866606,0.0
2000-06-21,0,1182479,0.0
2000-06-22,0,837876,0.0
2000-06-23,0,555159,0.0
2000-06-26,0,540792,0.0
2000-06-27,0,782480,0.0
2000-06-28,0,1067574,0.0
2000-06-29,0,1186791,0.0
2000-06-30,0,850158,0.0
2000-07-03,0,810137,0.0
2000-07-04,0,915723,0.0
2000-07-05,0,461810,0.0
2000-07-06,0,505509,0.0
2000-07-07,0,419761,0.0
2000-07-10,0,375832,0.0
2000-07-11,0,766937,0.0
2000-07-12,0,494613,0.0
2000-07-13,0,807792,0.0
2000-07-14,0,350935,0.0
2000-07-18,0,296402,0.0
2000-07-19,0,402188,0.0
2000-07-20,0,653027,0.0
2000-07-21,0,370748,0.0
2000-07-24,0,410556,0.0
2000-07-25,0,615480,0.0
2000-07-26,0,843619,0.0
2000-07-27,0,370075,0.0
2000-07-28,0,589619,0.0
2000-07-31,0,439485,0.0
2000-08-01,0,509635,0.0
2000-08-02,0,467578,0.0
2000-08-03,0,448240,0.0
