날짜,공매도,매수,비중
2005-11-22,0,1065049,0.0
2005-11-23,0,366374,0.0
2005-11-24,0,341478,0.0
2005-11-25,0,606009,0.0
2005-11-28,0,237825,0.0
2005-11-29,0,130298,0.0
2005-11-30,0,158190,0.0
2005-12-01,0,148220,0.0
2005-12-02,0,627839,0.0
2005-12-05,0,213293,0.0
2005-12-06,0,168972,0.0
2005-12-07,0,124670,0.0
2005-12-08,0,108821,0.0
2005-12-09,0,64051,0.0
2005-12-12,0,167454,0.0
2005-12-13,0,239610,0.0
2005-12-14,0,189925,0.0
2005-12-15,0,181805,0.0
2005-12-16,0,253060,0.0
2005-12-19,0,153558,0.0
2005-12-20,0,140075,0.0
2005-12-21,0,127207,0.0
2005-12-22,0,649418,0.0
2005-12-23,0,143531,0.0
2005-12-26,0,111065,0.0
2005-12-27,0,164328,0.0
2005-12-28,0,108601,0.0
2005-12-29,0,145853,0.0
2006-01-02,0,75873,0.0
2006-01-03,0,115251,0.0
2006-01-04,0,168320,0.0
2006-01-05,0,569715,0.0
2006-01-06,0,440502,0.0
2006-01-09,0,130906,0.0
2006-01-10,0,114347,0.0
2006-01-11,0,189132,0.0
2006-01-12,0,148080,0.0
2006-01-13,0,160822,0.0
2006-01-16,0,123807,0.0
2006-01-17,0,100839,0.0
2006-01-18,0,123340,0.0
2006-01-19,0,35738,0.0
2006-01-20,0,68430,0.0
2006-01-23,0,123950,0.0
2006-01-24,0,66838,0.0
2006-01-25,0,63550,0.0
2006-01-26,0,44410,0.0
2006-01-27,0,65290,0.0
2006-01-31,0,66850,0.0
2006-02-01,0,49630,0.0
2006-02-02,0,62296,0.0
2006-02-03,0,77450,0.0
2006-02-06,0,33450,0.0
2006-02-07,0,39192,0.0
2006-02-08,0,14490,0.0
2006-02-09,0,15930,0.0
2006-02-10,0,15130,0.0
2006-02-13,0,42464,0.0
2006-02-14,0,71980,0.0
2006-02-15,0,24060,0.0
2006-02-16,0,18630,0.0
2006-02-17,0,16890,0.0
2006-02-20,0,11820,0.0
2006-02-21,0,31060,0.0
2006-02-22,0,23602,0.0
2006-02-23,0,28070,0.0
2006-02-24,0,8520,0.0
2006-02-27,0,16861,0.0
2006-02-28,0,23910,0.0
2006-03-02,0,16330,0.0
2006-03-03,0,24140,0.0
2006-03-06,0,10177,0.0
2006-03-07,0,43829,0.0
2006-03-08,0,113419,0.0
2006-03-09,0,133360,0.0
2006-03-10,0,263130,0.0
2006-03-13,0,114762,0.0
2006-03-14,0,60320,0.0
2006-03-15,0,354870,0.0
2006-03-16,0,294471,0.0
2006-03-17,0,100155,0.0
2006-03-20,0,52629,0.0
2006-03-21,0,72360,0.0
2006-03-22,0,52968,0.0
2006-03-23,0,188596,0.0
2006-03-24,0,72270,0.0
2006-03-27,0,57531,0.0
2006-03-28,0,36920,0.0
2006-03-29,0,28080,0.0
2006-03-30,0,31320,0.0
2006-03-31,0,49920,0.0
2006-04-03,0,37948,0.0
2006-04-04,0,179438,0.0
2006-04-05,0,108033,0.0
2006-04-06,0,321660,0.0
2006-04-07,0,82085,0.0
2006-04-10,0,70073,0.0
2006-04-11,0,62510,0.0
2006-04-12,0,72650,0.0
2006-04-13,0,39432,0.0
2006-04-14,0,76172,0.0
2006-04-17,0,49430,0.0
2006-04-18,0,49360,0.0
2006-04-19,0,99830,0.0
2006-04-20,0,115770,0.0
2006-04-21,0,82810,0.0
2006-04-24,0,65269,0.0
2006-04-25,0,77340,0.0
2006-04-26,0,71143,0.0
2006-04-27,0,61670,0.0
2006-04-28,0,36150,0.0
2006-05-02,0,47740,0.0
2006-05-03,0,30012,0.0
2006-05-04,0,16040,0.0
2006-05-08,0,28540,0.0
2006-05-09,0,32300,0.0
2006-05-10,0,24102,0.0
2006-05-11,0,22310,0.0
2006-05-12,0,23941,0.0
2006-05-15,0,139420,0.0
2006-05-16,0,160130,0.0
2006-05-17,0,115439,0.0
2006-05-18,0,25070,0.0
2006-05-19,0,23830,0.0
2006-05-22,0,22380,0.0
2006-05-23,0,10380,0.0
2006-05-24,0,18250,0.0
2006-05-25,0,9080,0.0
2006-05-26,0,4602,0.0
2006-05-29,0,23972,0.0
2006-05-30,0,11470,0.0
2006-06-01,0,2140,0.0
2006-06-02,0,3658,0.0
2006-06-05,0,14370,0.0
2006-06-07,0,13220,0.0
2006-06-08,0,13130,0.0
2006-06-09,0,25000,0.0
2006-06-12,0,189540,0.0
2006-06-13,0,5402,0.0
2006-06-14,0,14530,0.0
2006-06-15,0,3690,0.0
2006-06-16,0,9220,0.0
2006-06-19,0,4697,0.0
2006-06-20,0,7800,0.0
2006-06-21,0,36541,0.0
2006-06-22,0,31410,0.0
2006-06-23,0,7520,0.0
2006-06-26,0,11160,0.0
2006-06-27,0,16300,0.0
2006-06-28,0,30630,0.0
2006-06-29,0,56100,0.0
2006-06-30,0,178722,0.0
2006-07-03,0,68193,0.0
2006-07-04,0,57310,0.0
2006-07-05,0,43510,0.0
2006-07-06,0,21370,0.0
2006-07-07,0,60930,0.0
2006-07-10,0,157640,0.0
2006-07-11,0,96080,0.0
2006-07-12,0,65620,0.0
2006-07-13,0,58960,0.0
2006-07-14,0,25800,0.0
2006-07-18,0,17550,0.0
2006-07-19,0,23608,0.0
2006-07-20,0,13560,0.0
2006-07-21,0,35830,0.0
2006-07-24,0,6510,0.0
2006-07-25,0,32330,0.0
2006-07-26,0,25710,0.0
2006-07-27,0,8170,0.0
2006-07-28,0,11664,0.0
2006-07-31,0,11490,0.0
2006-08-01,0,10460,0.0
2006-08-02,0,10390,0.0
2006-08-03,0,19505,0.0
2006-08-04,0,7140,0.0
2006-08-07,0,2330,0.0
2006-08-08,0,4029,0.0
2006-08-09,0,7420,0.0
2006-08-10,0,6840,0.0
2006-08-11,0,6760,0.0
2006-08-14,0,7250,0.0
2006-08-16,0,20800,0.0
2006-08-17,0,14900,0.0
2006-08-18,0,2800,0.0
2006-08-21,0,10060,0.0
2006-08-22,0,22940,0.0
2006-08-23,0,5560,0.0
2006-08-24,0,5540,0.0
2006-08-25,0,9670,0.0
2006-08-28,0,19040,0.0
2006-08-29,0,4480,0.0
2006-08-30,0,32810,0.0
2006-08-31,0,16330,0.0
2006-09-01,0,26130,0.0
2006-09-04,0,13280,0.0
2006-09-05,0,15720,0.0
2006-09-06,0,8930,0.0
2006-09-07,0,5230,0.0
2006-09-08,0,4690,0.0
2006-09-11,0,9200,0.0
2006-09-12,0,2360,0.0
2006-09-13,0,12110,0.0
2006-09-14,0,4740,0.0
2006-09-15,0,5950,0.0
2006-09-18,0,11300,0.0
2006-09-19,0,20220,0.0
2006-09-20,0,9140,0.0
2006-09-21,0,33280,0.0
2006-09-22,0,3300,0.0
2006-09-25,0,16010,0.0
2006-09-26,0,8140,0.0
2006-09-27,0,8120,0.0
2006-09-28,0,5510,0.0
2006-09-29,0,3230,0.0
2006-10-02,0,16700,0.0
2006-10-04,0,1662,0.0
2006-10-09,0,6010,0.0
2006-10-10,0,7110,0.0
2006-10-11,0,9620,0.0
2006-10-12,0,5220,0.0
2006-10-13,0,21770,0.0
2006-10-16,0,16160,0.0
2006-10-17,0,67800,0.0
2006-10-18,0,16480,0.0
2006-10-19,0,25391,0.0
2006-10-20,0,13600,0.0
2006-10-23,0,13660,0.0
2006-10-24,0,16510,0.0
2006-10-25,0,5640,0.0
2006-10-26,0,13340,0.0
2006-10-27,0,10110,0.0
2006-10-30,0,22340,0.0
2006-10-31,0,13300,0.0
2006-11-01,0,8440,0.0
2006-11-02,0,19680,0.0
2006-11-03,0,24832,0.0
2006-11-06,0,60012,0.0
2006-11-07,0,22441,0.0
2006-11-08,0,5000,0.0
2006-11-09,0,7720,0.0
2006-11-10,0,15910,0.0
2006-11-13,0,13370,0.0
2006-11-14,0,15690,0.0
2006-11-15,0,5820,0.0
2006-11-16,0,3010,0.0
2006-11-17,0,4840,0.0
2006-11-20,0,14170,0.0
2006-11-21,0,18290,0.0
2006-11-22,0,8770,0.0
2006-11-23,0,1260,0.0
2006-11-24,0,4780,0.0
2006-11-27,0,28460,0.0
2006-11-28,0,28930,0.0
2006-11-29,0,18160,0.0
2006-11-30,0,8710,0.0
2006-12-01,0,22340,0.0
2006-12-04,0,20040,0.0
2006-12-05,0,6230,0.0
2006-12-06,0,50598,0.0
2006-12-07,0,48020,0.0
2006-12-08,0,6890,0.0
2006-12-11,0,9281,0.0
2006-12-12,0,13310,0.0
2006-12-13,0,8770,0.0
2006-12-14,0,71070,0.0
2006-12-15,0,9140,0.0
2006-12-18,0,19110,0.0
2006-12-19,0,10170,0.0
2006-12-20,0,11113,0.0
2006-12-21,0,1970,0.0
2006-12-22,0,32480,0.0
2006-12-26,0,34130,0.0
2006-12-27,0,5270,0.0
2006-12-28,0,4400,0.0
2007-01-02,0,2500,0.0
2007-01-03,0,25150,0.0
2007-01-04,0,8120,0.0
2007-01-05,0,12090,0.0
2007-01-08,0,20540,0.0
2007-01-09,0,21380,0.0
2007-01-10,0,22800,0.0
2007-01-11,0,3740,0.0
2007-01-12,0,12840,0.0
2007-01-15,0,2370,0.0
2007-01-16,0,6200,0.0
2007-01-17,0,700,0.0
2007-01-18,0,4120,0.0
2007-01-19,0,59290,0.0
2007-01-22,0,16550,0.0
2007-01-23,0,7340,0.0
2007-01-24,0,5020,0.0
2007-01-25,0,2270,0.0
2007-01-26,0,20420,0.0
2007-01-29,0,15030,0.0
2007-01-30,0,10351,0.0
2007-01-31,0,32795,0.0
2007-02-01,0,9420,0.0
2007-02-02,0,2110,0.0
2007-02-05,0,15840,0.0
2007-02-06,0,1840,0.0
2007-02-07,0,8320,0.0
2007-02-08,0,9820,0.0
2007-02-09,0,41420,0.0
2007-02-12,0,9050,0.0
2007-02-13,0,37520,0.0
2007-02-14,0,20400,0.0
2007-02-15,0,2420,0.0
2007-02-16,0,4410,0.0
2007-02-20,0,8250,0.0
2007-02-21,0,4327,0.0
2007-02-22,0,50510,0.0
2007-02-23,0,7050,0.0
2007-02-26,0,41494,0.0
2007-02-27,0,8560,0.0
2007-02-28,0,17740,0.0
2007-03-02,0,25790,0.0
2007-03-05,0,66081,0.0
2007-03-06,0,24200,0.0
2007-03-07,0,11890,0.0
2007-03-08,0,9430,0.0
2007-03-09,0,3570,0.0
2007-03-12,0,23560,0.0
2007-03-13,0,20550,0.0
2007-03-14,0,1060,0.0
2007-03-15,0,35910,0.0
2007-03-16,0,19970,0.0
2007-03-19,0,10660,0.0
2007-03-20,0,2780,0.0
2007-03-21,0,3010,0.0
2007-03-22,0,4910,0.0
2007-03-23,0,390,0.0
2007-03-26,0,8920,0.0
2007-03-27,0,11850,0.0
2007-03-28,0,12350,0.0
2007-03-29,0,14700,0.0
2007-03-30,0,9990,0.0
2007-04-02,0,3920,0.0
2007-04-03,0,9226,0.0
2007-04-04,0,23810,0.0
2007-04-05,0,27870,0.0
2007-04-06,0,7740,0.0
2007-04-09,0,6210,0.0
2007-04-10,0,13120,0.0
2007-04-11,0,28024,0.0
2007-04-12,0,7620,0.0
2007-04-13,0,4710,0.0
2007-04-16,0,15864,0.0
2007-04-17,0,9640,0.0
2007-04-18,0,25180,0.0
2007-04-19,0,16310,0.0
2007-04-20,0,5060,0.0
2007-04-23,0,19630,0.0
2007-04-24,0,14590,0.0
2007-04-25,0,29820,0.0
2007-04-26,0,10811,0.0
2007-04-27,0,7100,0.0
2007-04-30,0,12350,0.0
2007-05-02,0,16930,0.0
2007-05-03,0,29552,0.0
2007-05-04,0,13160,0.0
2007-05-07,0,24340,0.0
2007-05-08,0,9170,0.0
2007-05-09,0,15080,0.0
2007-05-10,0,12300,0.0
2007-05-11,0,7873,0.0
2007-05-14,0,22050,0.0
2007-05-15,0,9120,0.0
2007-05-16,0,17154,0.0
2007-05-17,0,21620,0.0
2007-05-18,0,12500,0.0
2007-05-21,0,29570,0.0
2007-05-22,0,22250,0.0
2007-05-23,0,40893,0.0
2007-05-25,0,21260,0.0
2007-05-28,0,20401,0.0
2007-05-29,0,19929,0.0
2007-05-30,0,14001,0.0
2007-05-31,0,12380,0.0
2007-06-01,0,14871,0.0
2007-06-04,0,23880,0.0
2007-06-05,0,19680,0.0
2007-06-07,0,24463,0.0
2007-06-08,0,18727,0.0
2007-06-11,0,10431,0.0
2007-06-12,0,9970,0.0
2007-06-13,0,5092,0.0
2007-06-14,0,36470,0.0
2007-06-15,0,38994,0.0
2007-06-18,0,83700,0.0
2007-06-19,0,19770,0.0
2007-06-20,0,18840,0.0
2007-06-21,0,25430,0.0
2007-06-22,0,17300,0.0
2007-06-25,0,12170,0.0
2007-06-26,0,8560,0.0
2007-06-27,0,11580,0.0
2007-06-28,0,18170,0.0
2007-06-29,0,14204,0.0
2007-07-02,0,13169,0.0
2007-07-03,0,10620,0.0
2007-07-04,0,12845,0.0
2007-07-05,0,20210,0.0
2007-07-06,0,24756,0.0
2007-07-09,0,39328,0.0
2007-07-10,0,10652,0.0
2007-07-11,0,9378,0.0
2007-07-12,0,12380,0.0
2007-07-13,0,14630,0.0
2007-07-16,0,10956,0.0
2007-07-18,0,24320,0.0
2007-07-19,0,7330,0.0
2007-07-20,0,19960,0.0
2007-07-23,0,12280,0.0
2007-07-24,0,11300,0.0
2007-07-25,0,13530,0.0
2007-07-26,0,9490,0.0
2007-07-27,0,17950,0.0
2007-07-30,0,25630,0.0
2007-07-31,60,14290,0.42
2007-08-01,0,25460,0.0
2007-08-02,60,10650,0.56
2007-08-03,0,2040,0.0
2007-08-06,0,10990,0.0
2007-08-07,0,58120,0.0
2007-08-08,0,18495,0.0
2007-08-09,0,668,0.0
2007-08-10,0,10320,0.0
2007-08-13,0,6510,0.0
2007-08-14,0,2520,0.0
2007-08-16,0,6737,0.0
2007-08-17,0,3861,0.0
2007-08-20,0,6950,0.0
2007-08-21,0,4040,0.0
2007-08-22,0,1170,0.0
2007-08-23,0,2041,0.0
2007-08-24,0,6100,0.0
2007-08-27,0,1871,0.0
2007-08-28,0,4280,0.0
2007-08-29,0,4310,0.0
2007-08-30,0,6022,0.0
2007-08-31,0,3427,0.0
2007-09-03,0,5060,0.0
2007-09-04,0,8390,0.0
2007-09-05,0,7860,0.0
2007-09-06,0,2210,0.0
2007-09-07,0,6700,0.0
2007-09-10,0,2170,0.0
2007-09-11,0,3150,0.0
2007-09-12,0,3310,0.0
2007-09-13,0,19540,0.0
2007-09-14,0,4720,0.0
2007-09-17,0,7280,0.0
2007-09-18,0,3360,0.0
2007-09-19,0,7990,0.0
2007-09-20,0,22451,0.0
2007-09-21,0,37900,0.0
2007-09-27,0,8891,0.0
2007-09-28,0,4324,0.0
2007-10-01,0,2691,0.0
2007-10-02,0,5040,0.0
2007-10-04,0,2160,0.0
2007-10-05,0,2580,0.0
2007-10-08,0,6041,0.0
2007-10-09,0,9480,0.0
2007-10-10,0,7200,0.0
2007-10-11,0,13198,0.0
2007-10-12,0,6380,0.0
2007-10-15,0,4400,0.0
2007-10-16,0,4970,0.0
2007-10-17,0,1090,0.0
2007-10-18,0,9010,0.0
2007-10-19,0,9340,0.0
2007-10-22,0,3010,0.0
2007-10-23,0,1870,0.0
2007-10-24,0,26720,0.0
2007-10-25,0,24120,0.0
2007-10-26,0,1220,0.0
2007-10-29,0,4860,0.0
2007-10-30,0,6550,0.0
2007-10-31,0,11080,0.0
2007-11-01,0,4800,0.0
2007-11-02,0,3710,0.0
2007-11-05,30,3080,0.97
2007-11-06,0,1150,0.0
2007-11-07,0,4530,0.0
2007-11-08,0,1550,0.0
2007-11-09,0,18051,0.0
2007-11-12,0,48730,0.0
2007-11-13,0,630,0.0
2007-11-14,0,36351,0.0
2007-11-15,0,890,0.0
2007-11-16,0,1670,0.0
2007-11-19,0,1370,0.0
2007-11-20,0,1950,0.0
2007-11-21,0,780,0.0
2007-11-22,0,1070,0.0
2007-11-23,0,2870,0.0
2007-11-26,0,80134,0.0
2007-11-27,0,17420,0.0
2007-11-28,0,9164,0.0
2007-11-29,0,3710,0.0
2007-11-30,0,2020,0.0
2007-12-03,0,15290,0.0
2007-12-04,0,1620,0.0
2007-12-05,0,20020,0.0
2007-12-06,0,1250,0.0
2007-12-07,0,2390,0.0
2007-12-10,0,3390,0.0
2007-12-11,0,16030,0.0
2007-12-12,0,2690,0.0
2007-12-13,0,9660,0.0
2007-12-14,0,75790,0.0
2007-12-17,0,23170,0.0
2007-12-18,0,117420,0.0
2007-12-20,0,21310,0.0
2007-12-21,0,13120,0.0
2007-12-24,0,35790,0.0
2007-12-26,0,35006,0.0
2007-12-27,0,13240,0.0
2007-12-28,0,32528,0.0
2008-01-02,0,9962,0.0
2008-01-03,0,8740,0.0
2008-01-04,0,14680,0.0
2008-01-07,0,12450,0.0
2008-01-08,0,8650,0.0
